up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
EGVD261,AXPO,VENTA,R. ESPECIAL,261,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD262,AXPO,VENTA,R. ESPECIAL,262,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD263,AXPO,VENTA,R. ESPECIAL,263,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD264,AXPO,VENTA,R. ESPECIAL,264,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD265,AXPO,VENTA,R. ESPECIAL,265,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD266,AXPO,VENTA,R. ESPECIAL,266,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD268,AXPO,VENTA,R. ESPECIAL,268,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD269,AXPO,VENTA,R. ESPECIAL,269,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD270,AXPO,VENTA,R. ESPECIAL,270,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD272,AXPO,VENTA,R. ESPECIAL,272,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD273,AXPO,VENTA,R. ESPECIAL,273,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD274,AXPO,VENTA,R. ESPECIAL,274,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD275,AXPO,VENTA,R. ESPECIAL,275,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA Híbrida Reno v.-Térmic",33
EGVD276,AXPO,VENTA,R. ESPECIAL,276,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD277,AXPO,VENTA,R. ESPECIAL,277,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD279,AXPO,VENTA,R. ESPECIAL,279,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD280,AXPO,VENTA,R. ESPECIAL,280,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD281,AXPO,VENTA,R. ESPECIAL,281,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD282,AXPO,VENTA,R. ESPECIAL,282,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD284,AXPO,VENTA,R. ESPECIAL,284,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD285,AXPO,VENTA,R. ESPECIAL,285,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD286,AXPO,VENTA,R. ESPECIAL,286,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD288,AXPO,VENTA,R. ESPECIAL,288,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD291,AXPO,VENTA,R. ESPECIAL,291,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD292,AXPO,VENTA,R. ESPECIAL,292,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD295,AXPO,VENTA,R. ESPECIAL,295,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD297,AXPO,VENTA,R. ESPECIAL,297,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD299,AXPO,VENTA,R. ESPECIAL,299,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD355,AXPO,VENTA,R.ESPECIAL 3,55,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD357,AXPO,VENTA,R. ESPECIAL,357,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",33
EGVD359,AXPO,VENTA,R.ESPECIAL 3,59,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD361,AXPO,VENTA,R.ESPECIAL 3,61,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD362,AXPO,VENTA,R.ESPECIAL 3,62,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD363,AXPO,VENTA,R. ESPECIAL,363,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD364,AXPO,VENTA,R. ESPECIAL,364,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD365,AXPO,VENTA,R. ESPECIAL,365,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD366,AXPO,VENTA,R.ESPECIAL 3,66,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD368,AXPO,VENTA,R. ESPECIAL,368,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD369,AXPO,VENTA,R. ESPECIAL,369,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD372,AXPO,VENTA,R. EGVD 372,,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",33
EGVD373,AXPO,VENTA,R.ESPECIAL 3,73,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",33
EGVD375,AXPO,VENTA,R.ESPECIAL,375,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD376,AXPO,VENTA,R.ESPECIAL,376,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD381,AXPO,VENTA,R.ESPECIAL,381,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD385,AXPO,VENTA,R. ESPECIAL,385,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD386,AXPO,VENTA,R. ESPECIAL,386,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD388,AXPO,VENTA,R. EGVD 388,,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD389,AXPO,VENTA,R. ESPECIAL,389,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD391,AXPO,VENTA,R. ESPECIAL,391,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD392,AXPO,VENTA,R. ESPECIAL,392,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD393,AXPO,VENTA,R. ESPECIAL,393,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R",34
EGVD394,AXPO,VENTA,R. ESPECIAL,393,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD400,AXPO,VENTA,R. ESPECIAL,400,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD401,AXPO,VENTA,R. ESPECIAL,401,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD404,AXPO,VENTA,R. ESPECIAL,404,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R",34
EGVD406,AXPO,VENTA,R. ESPECIAL,406,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD407,AXPO,VENTA,R. ESPECIAL,407,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD408,AXPO,VENTA,R. ESPECIAL,408,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD410,AXPO,VENTA,R. ESPECIAL,410,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD413,AXPO,VENTA,R. ESPECIAL,413,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",34
EGVD414,AXPO,VENTA,R. ESPECIAL,414,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD415,AXPO,VENTA,R. ESPECIAL,415,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD416,AXPO,VENTA,R. ESPECIAL,416,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD417,AXPO,VENTA,R. ESPECIAL,412,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD418,AXPO,VENTA,R. ESPECIAL,418,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD420,AXPO,VENTA,R. ESPECIAL,420,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD421,AXPO,VENTA,R. ESPECIAL,421,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD422,AXPO,VENTA,R. ESPECIAL,422,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD423,AXPO,VENTA,R. ESPECIAL,423,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD426,AXPO,VENTA,R. ESPECIAL,426,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD427,AXPO,VENTA,R. ESPECIAL,427,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD429,AXPO,VENTA,R. ESPECIAL,429,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD430,AXPO,VENTA,R. ESPECIAL,430,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R",34
EGVD432,AXPO,VENTA,R. ESPECIAL,432,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD434,AXPO,VENTA,R. ESPECIAL,434,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD439,AXPO,VENTA,R. ESPECIAL,439,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD440,AXPO,VENTA,R. ESPECIAL,440,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD441,AXPO,VENTA,R. ESPECIAL,440,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD442,AXPO,VENTA,R. ESPECIAL,442,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér",34
EGVD444,AXPO,VENTA,R. ESPECIAL,444,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD445,AXPO,VENTA,R. ESPECIAL,445,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD447,AXPO,VENTA,R. ESPECIAL,447,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",34
EGVD448,AXPO,VENTA,R. ESPECIAL,448,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD449,AXPO,VENTA,R. ESPECIAL,449,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD450,AXPO,VENTA,R. ESPECIAL,450,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD451,AXPO,VENTA,R. ESPECIAL,451,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD452,AXPO,VENTA,R. ESPECIAL,452,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",34
EGVD453,AXPO,VENTA,R. ESPECIAL,453,AXPO,"IBERIA, S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",34
EGVD454,AXPO,VENTA R,. ESPECIAL 454,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD455,AXPO,VENTA R,. ESPECIAL 455,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD461,AXPO,VENTA R,. ESPECIAL 461,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD462,AXPO,VENTA R,. ESPECIAL 462,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD464,AXPO,VENTA R,. ESPECIAL 464,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD465,UOF M,ECANISM,O LAISA1,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD466,AXPO,VENTA R,. ESPECIAL 466,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD467,AXPO,VENTA R,. ESPECIAL 467,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD468,UOF C,OPLA1 (C,ON MECANISMO),AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD470,AXPO,VENTA R,. ESPECIAL 470,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD471,AXPO,VENTA R,. ESPECIAL 471,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD473,AXPO,VENTA R,. ESPECIAL 473,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD474,AXPO,VENTA R,. ESPECIAL 474,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,35
EGVD475,AXPO,VENTA R,. ESPECIAL 472,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,35
EGVD476,AXPO,VENTA R,. ESPECIAL 476,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,35
EGVD478,UOF E,NERGÍA,EÓLICA ZENETE,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD479,UOF A,NTU SOL,"AR, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD481,AXPO,VENTA R,. ESPECIAL 481,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD482,AXPO,VENTA R,. ESPECIAL 482,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD483,AXPO,VENTA R,. ESPECIAL 483,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér,35
EGVD484,AXPO,VENTA R,. ESPECIAL 484,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Tér,35
EGVD487,AXPO,VENTA R,. ESPECIAL 487,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD491,UOF P,LANTA F,V 154,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD492,UOF IN,ST. PING,UIN,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD494,UOF C,OLMENA,SUN BAECIENCE,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD495,UOF H,IDROME,"DIA, S.A.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,35
EGVD496,UOF E,COPARC,"BARCELONA, S.A.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,35
EGVD497,UOF N,EOE. SC,ECOENER NAVARRA,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD498,UOF N,EOELEC,BIOMASA FDP,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,35
EGVD499,UOF V,ALORITZ,ACIONS (COGENERACI,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD500,UOF V,ALORITZ,ACIONS (BIOGAS),AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,35
EGVD501,UOF E,ÓLICA D,"EL PUERTO, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD502,UOF D,UNAS DF,"8, S.L.U.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD503,UOF P,ROMOSO,"LAR JUWI 17, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD504,UOF S,PV10,,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD505,UOF S,PV 3,,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD506,UOF A,ZUC. IBE,R (AE),AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD507,UOF A,ZU. IBER,(NO AE),AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD508,UOF A,NSA VIGI,"LANCE, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD511,UOF F,ERRE EN,ERGÍA,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,35
EGVD512,UOF B,ORREGO,S,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD513,UOF B,IOELECT,RICA DE GARAY,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,35
EGVD514,UOF C,ERRATO,"EÓLICA, S.L.U.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD515,UOF P,RADA (IN,ST. PE SAN CEBRIA,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD516,UOF F,UNDICI H,"IVE, S.L.U.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD517,UOF K,ELLY SO,"LAR, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD518,UOF A,LDENER,EXTREMADURA,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD519,UOF E,ÓLICA C,"ASCANTE, S.L.",AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD520,UOF D,ESARR.,ENER DEL CANTABRIC,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,35
EGVD521,UOF S,OLEN EN,ERGÍA VALDELAFUENT,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD524,UOF S,OLEN EN,ERGÍA LA NAVA,AXPO,"IBERIA,",S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,35
EGVD525,UPF GENERACI,ÓN,F,OTOV DE BARGAS,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD526,UOF CASTELLA,NA,D,E ENERG. RENO,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA Híbrida Reno vable,36
EGVD527,UOF P.E LAS AT,AL,A,YAS (PRADAMAP,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,36
EGVD528,UOF MAMA QUI,LLA,S,"OLAR, S.L.","AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD529,UOF HOTEI SOL,AR,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD530,UOF APHIG,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD531,UOF RIEGOS D,EL,A,LTO ARAGÓN,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD532,UOF BIOETANO,L G,A,LICIA,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD533,UOF ACEQUIA C,IN,C,O VILLAS,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD534,UOF MINICENTR,AL,H,ERREROS,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD535,UOF UTE CESP,A-C,E,SPA G.R.,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,36
EGVD536,UOF PREZERO,ESP,A,ÑA,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,36
EGVD537,UOF SOL 20120,014,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD538,UOF SOL201200,16,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD539,UOF ELECTRO,SAN,,DIEGO,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD540,UOF HIDROELE,CT,RI,CA DE CUERVA,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,36
EGVD541,UOF INDUSTRIA,S R,O,KO,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD542,UOF EURUS DE,SA,R,ROLLOS RENOVABL,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,36
EGVD544,UOF SOLAR CA,ST,U,"ERA, S.L.U.","AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD545,UOF PE OLIADO,(M,T,ORG),"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,36
EGVD546,UOF COG. EÓLI,CA,P,EÑA OTERO,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,36
EGVD548,"UOF PINA, S.A.",,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,36
EGVD549,UOF TABLEROS,LO,S,AN,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,36
EGVD550,UOF VENTUS IB,ER,IA,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD551,UOF FONZ,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD552,UOF MILAGROS,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD553,UOF MILLAN,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD554,UOF MONZÓN,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD555,UOF CETA,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,36
EGVD556,UOF FENERA,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD557,UOF ROTELES,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD558,UOF PV SOLAR,LO,S,ALCORES,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD559,UOF EL MONTE,,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD560,UOF VALTARAR,ON,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD561,UOF COLMENA,SU,N,ZAFRA,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD562,UOF FINIDI SOL,AR,,,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
EGVD563,UOF SOLAR CA,PAR,A,CENA 1,"AXPO IBERIA, S",.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,36
