up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
CEVD302,ELECDEY LEZUZ,A,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD308,PE LOMA DE AYA,LA,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD309,PE LOS JARALES,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD328,PE SOTILLO,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD329,CEVD329,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD331,PE ABLITAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD332,EOL VALDETELLAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD334,MEH,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,21
CEVD339,PANTANE MECANISM,O AJUSTE,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,21
CEVD340,PODEBO RDL 17_202,2,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,21
CEVD344,FV. PUERTO REAL,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD345,FV. PRADO DE LUNA,1,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD346,FV. PRADO DE LUNA,2,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD347,FV. PRADO DE LUNA,3,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD348,FV. EL CUARTILLEJO,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD349,CUTOLE_MAJ,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,21
CEVD352,P.E. CAMPO DE MAG,ALLON,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD353,FV. LLANO1,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD354,FV. LLANO2,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD356,FV ALAMO,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD357,CH. TALAVE,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,21
CEVD358,P.E. MULTITECNOLO,GÍA ZR,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD360,P.E. BECERRIL,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD361,P.E. VALDELUGO,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD368,RENOVALIA SOLAR 2,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD369,FV. LLANO3,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD371,FV. NATURENER SO,LAR ALANGE,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD373,FV. CORONIL 1 - ECO,IBERIA SOLA,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD374,FV. REGANTES SANT,A MARIA,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD375,P.E. CARRERAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD376,P.E. MANZANAL,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD378,P.E. PEÑUCA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
