codigo_de_sujeto,nombre,codigo_eic,tipo_de_sm
VALOR,TEXTIL VALOR,18X000000000H0CD,Consumidor directo mercado
TGBSA,TGB SA,18X0000000006RMU,Consumidor directo mercado
THELE,TH ELECTRICITY GAS SL,18X000000000P4ZY,Comercializador
THER,THERMOLYMPIC S.L,18XTHER-123456-C,Consumidor directo mercado
TOMMY,"TOMMY ENERGY, S.L.",18X000000000P9IG,Comercializador
TORME,TORMESH SOLUTIONS SL,18X000000000LOFU,Comercializador
TORNA,TORNADIZOS ENERGY SL,18X000000000P8XQ,Comercializador
TORTE,"TORTOSA ENERGIA, S. A.",18XTORTE-1234-1I,Productor
TOTGA,TOTAL GAS,11XTOTAL-------8,Comercializador
TGYE,TOTAL GAS Y ELECTRICIDAD ESPAA SAU,18X00000000050WL,Comercializador
NATGA,TOTALENERGIES CLIENTES S.A.U.,18XNATGA-1234-3Y,Comercializador
TERSA,TRACTAMENT I SELECCIO DE RESID,18XTERSA--123-1S,Productor
TSRDE,TRAILSTONE RENEWABLES GMBH,11X0-0000-0518-U,Comercializador
TRICL,TRICLINIUM INVERSIONES SL,18X000000000P8N9,Comercializador
TRISO,TRISOLARIS AG,12X-000000209E-9,Comercializador
TUELE,TU ELECTRICA S.L.,18X000000000LN7C,Comercializador
CONTA,TUNERGIA,18X000000000J4MA,Comercializador
TEVI,TVITEC SYSTEM GLASS,18X00000000039IU,Consumidor directo mercado
UBORA,"UBORA ENERGIA SOCIAL, S.L.",18X000000000PKXR,Comercializador
ULSOL,ULTREYA SOLUCIONES SL,18X000000000I8J8,Comercializador
UNEL,UNIELECTRICA,18XUNIELECTRICAI,Comercializador
URANB,"URANOSCOPIDAE ENERGIA VI, S.L.",18X000000000LYD4,Comercializador
URANA,URANOSCOPIDAE V ENERGIA S.L.,18X000000000LDBY,Comercializador
URANC,"URANOSCOPIDAE VII ENERGIA, S.L.",18X000000000M27Y,Comercializador
URBEN,URBENER,18XURBEN-12345-F,Comercializador
URUSE,URUS ENERGY SORIA SLNE,18X000000000PAFJ,Comercializador
UTTEM,UTTEM-TRM,18XUTTEM-12345-O,Productor
VALEA,VALERO FORN TRADICIONAL SL,18X000000000NI7J,Consumidor directo mercado
VARAE,"VARAENER, S.L.",18X000000000P110,Comercializador
VECTO,VECTOR ENERGÍA S.L.,18X000000000CEYL,Comercializador
VELTA,VELETA ENERGIA SL,18X000000000MC74,Comercializador
VIMCO,VIMCOMEL SL,18X000000000P769,Comercializador
VINAO,VIÑAOLIVA SOCIEDDAD COOPERATIVA,18X000000000PDDE,Consumidor directo mercado
VIRGI,VIRGIN ELECTRIC COMERCIALIZADORA,18X0000000003K2T,Comercializador
VISAL,VISALIA ENERGIA SLU,18X000000000CAIS,Comercializador
SNIVI,VISCOCEL S.L.U,18XSNIVI-12345-Z,Consumidor directo mercado
VITEC,VITA ENERGY CONSULTING SL,18X000000000L86M,Representante
VITOL,VITOL SA,23XVITOLSA-----3,Comercializador
VIVA,VIVA ENERGIA Y SOLUCIONES SL,18X0000000002MQG,Comercializador
VIVO,VIVO ENERGIA FUTURA,18X0000000000JQX,Comercializador
WARTS,WARTSILA IBÉRICA S.A.,18XWARTS-12345-7,Productor
WEKIW,WEKIWI SL,18X000000000M9HU,Comercializador
WMARK,WIND TO MARKET,18XWMARK-1234-18,Comercializador
ENERG,XENERA COMPAÑÍA ELÉCTRICA S.A.,18XENERG-12345-N,Comercializador
YELLO,YELLOW ENERGY,18XYELLO-12345-4,Comercializador
ZELTR,ZELTRIA ENERGIA,18XZELTRIAENERGN,Comercializador
ZENON,"ZENON ENERGIA, S.L.",18X000000000PI3J,Comercializador
ZERE,ZEREP CARBONICAS Y AGUAS,18XZERE-123456-V,Consumidor directo mercado
ZRMTT,"ZERMATT POWER, SL",18X000000000KBRC,Comercializador
ZETAE,ZETA ENERXIA GALEGA S.L.,18X000000000P6T3,Comercializador
ZOVE,"ZONA ENERGÍA VERDE, S.L.",18X000000000PJ2I,Comercializador
ZUGPW,"ZUG POWER, SL",18X000000000MYC2,Comercializador
ZULU,ZULUX ENERGIA,18X000000000FBK9,Comercializador
