codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
CASAQ1,18W000000000Q1VO,CASAQ1,CASAQUEMADA I,Solar fotovoltaica,EBLCO,FCASAQ1,"29,0"
CASAQ2,18W000000000Q1WM,CASAQ2,CASAQUEMADA II,Solar fotovoltaica,EBLCO,FCASAQ2,"29,0"
CASAR,18WCASAR-12345-P,CASAR,CASAR,Hidráulica - No UGH,CEG,HCASAR,"3,1"
CASAV,18W000000000U747,CASA V,CASAFUERTE V,Solar fotovoltaica,ELEIA,CASAV,"8,0"
CASAVJ,18W000000000SSQJ,CASA VIEJA,CASA VIEJA,Eólica terrestre,SHEEN,SHEPV32,"47,3"
CASCALD,18WCASCALD-123-E,CASCALD,18WCASCALD-123-E,Fluyente,EGLE,HSAEDO,"4,3"
CASCANT,18W000000000SKWV,CASCANT,PE CASCANTE II,Eólica terrestre,EGLE,ECANTE,"50,0"
CASETON,18W000000000GJUC,CASETONA,CASETONA,Híbrida Renovable,IBGES,FEHIBHV,"53,1"
CASLLEI,18W000000000TYL7,CASLLEI,CASLLEI,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
CASOL,18WCASOL-12345-D,CASOL,CASOL,Hidráulica - No UGH,CEG,HCAMPOS,"2,0"
CASTE,18WCASTE-12345-Q,CASTELLANA,PARQUE EOLICO LA CASTELLANA,Eólica terrestre,EGED,EGREEN,"46,0"
CASTEL1,18W000000000MH2D,CASTEL1,CASTEL1,Solar fotovoltaica,NEXU,FCSTEL1,"1,1"
CASTEL2,18W000000000MHP4,CASTEL2,CASTEL2,Solar fotovoltaica,NEXU,FCSTEL2,"1,8"
CASTELO,18WCASTELO-12-E9,CASTELO,P.E. CASTELO,Eólica terrestre,ECYR,EREGPEM,"16,5"
CASTELS,18W000000000P6MV,CASTELS,UF SOLAR CASTELSERAS,Solar fotovoltaica,NEXU,FCSERAS,"1,1"
CASTEUR,18WCASTEUR-12-DT,CASTEUR,18WCASTEUR-12-DT,Gas natural cogeneración,EGLE,TPYC2,"8,8"
CASTI,18WCASTI-12345-R,CASTI,PARQUE EOLICO CASTIL DE TIERRA,Eólica terrestre,EGLE,ECASTI,"36,0"
CASTIL,18W000000000RO0D,CASTIL,CASTIL,Embalse,GNRA,HFGNRA,"1,5"
CASTILB,18W000000000F6ED,CASTILBLAN,FV CASTILBLANCO,Solar fotovoltaica,ECYR,FEGPEM,"34,3"
CASTOR,18W000000000MEMJ,CASTOR,CASTOR,Solar fotovoltaica,HISPE,FCASTOR,"42,5"
CASTRE,18WCASTRE-1234-6,CASTRE,P.E. EL CASTRE,Eólica terrestre,GNRA,PECAST,"26,7"
CASTRIO,18WCASTRIO-12-ER,CASTRIO,CASTRIO,Eólica terrestre,GNRA,EFGNRA2,"26,4"
CASTRO,18WCASTRO-1234-0,CASTRO,UF COGOTAS 1,Fluyente,GNRA,HCOGOTA,"5,2"
CASTUER,18W000000000QJW5,CASTUER,FV CASTUERA,Solar fotovoltaica,WMARK,FFWMARK,"1,9"
CASTUR,18W000000000QAOB,CASTUR,UF SOLAR CASTUR,Solar fotovoltaica,NEXU,FCASTUR,"1,2"
CASZAR,18W000000000TYM5,CASZAR,CASZAR,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
CAT1,18W000000000TX71,CAT1,CAT1,Solar fotovoltaica,REPSB,FCAT,"37,1"
CAT2,18W000000000TX9Y,CAT2,CAT2,Solar fotovoltaica,REPSB,FCAT,"37,1"
CATALA,18W000000000SM9Y,FV CATALA,FV MAS DE CATALA,Solar fotovoltaica,DREUA,FDREU12,"1,7"
CATGC01,18W-CATGC01-2--A,CATGAS,CATGAS ENERGIA SA,Comercializadores mercado libre,CATGA,CATGC01,"0,5"
CATMIN,18W000000000S24U,CATMIN,CATMIN,Comercializadores mercado libre,SHELL,SESAR01,"1,0"
CATRAL1,18W000000000SLFP,CATRAL1F,CATRAL01 FISICA,Solar fotovoltaica,TRISO,CATRAL1,"1,8"
CATRAL2,18W000000000T57B,CATRAL 2,UP CATRAL 2,Solar fotovoltaica,TRISO,CATRAL2,"0,1"
CATRC01,18W-CATRC01-4--E,CATRC01 CO,"ELÉCTRICA CATRALENSE, SLU COMP",Comercializadores mercado libre,CATRA,CATRC01,"4,0"
CAUPS,18W000000000JKVW,CAUPS,CAUPS,Solar fotovoltaica,GNRA,FVGNRA,"1,7"
CAUXA,18W000000000TA18,CAUXA,CAUXA,Hidráulica - No UGH,DETIC,HYCAUXA,"2,7"
CAV1,18WCAV1-12345-AX,CARCAVILLA,CARCAVILLA,Fluyente,ENDG,EBRACC1,"4,8"
CAVAD,18W000000000TB23,CAVAD,CAVAD,Eólica terrestre,REPSB,ECERRA2,"50,0"
CAVAL1,18W000000000V3B1,CAVAL1,CAVAL1,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
CAVAR1,18W000000000I2QQ,CAVAR1,CAVAR1,Eólica terrestre,IBGES,EIBGECA,"27,7"
CAVAR2,18W000000000I2RO,CAVAR2,CAVAR2,Eólica terrestre,IBGES,EIBGECA,"27,7"
CAVAR3A,18W000000000I2SM,CAVAR3A,CAVAR3A,Eólica terrestre,IBGES,EIBGECA,"27,7"
CAVAR3B,18W000000000I2TK,CAVAR3B,CAVAR3B,Eólica terrestre,IBGES,EIBGECA,"27,7"
CAVLO,18WCAVLO-1234-DA,CAVLO,PAPELERA DE CAVLO,Gas natural cogeneración,WMARK,TCAVLO,"4,9"
CAXADO,18WCAXADO-123-EO,CAXADO,CAXADO,Eólica terrestre,EGED,EGREEN,"24,4"
CAYO,18WCAYO-12345-EL,CAYO,P. E. EL CAYO,Eólica terrestre,ECYR,EREGPE1,"24,7"
CAYPA,18WCAYPA-1234-DQ,CAYPA,CAYLA Y PARES,Gas natural cogeneración,AME,TCYPSA,"7,3"
CAZU,18WCAZU-12345-AW,CAZULAS,CAZULAS,Fluyente,ENDG,GDLQ,"1,7"
CBAILON,18WCBAILON-12-E3,CBAILON,P.E. CRISTO BAILONES,Eólica terrestre,EGED,EGREEN1,"42,0"
CBAMN,18W000000000TTKO,CBAMN,CBAMN,Solar fotovoltaica,GNRA,UPSON3,"1,4"
CBANAL,18W000000000U18H,CBANAL,UF SOLAR CIBANAL 1,Solar fotovoltaica,NEXU,FCBANAL,"1,9"
CBECERR,18WCBECERR-123-B,CBECERR,P.E. CERRO BECERRIL,Eólica terrestre,HC G,HCGSCSA,"49,6"
CBIO1,18WCBIO1-12345-W,CBIO1,COGENERACION CON BIOMASA HUELV,Biomasa,ENCEG,RUCBIO1,"27,5"
CBIO2,18WCBIO2-12345-N,CBIO2,BIOMASA HUELVA 50 MW,Biomasa,ENCEG,RUCBIO2,"50,0"
CBLA,18WCBLA-12345-A4,CASABLANCA,CASABLANCA,Fluyente,ENDG,EBRACC1,"0,5"
CBLANCO,18WCBLANCO-123-E,CBLANCO,P. E. CERRO BLANCO,Eólica terrestre,IBGES,EHIBGES,"42,0"
CBR1,18WCBR1-12345-AS,CABRIANA 1,CABRIANA 1,Fluyente,IBEG,EBRA,"0,7"
CBR2,18WCBR2-12345-AI,CABRIANA 2,CABRIANA 2,Fluyente,IBEG,EBRA,"0,7"
CBR3,18WCBR3-12345-A8,CABRIANA 3,CABRIANA 3,Fluyente,IBEG,EBRA,"1,9"
CBR4,18WCBR4-12345-AZ,CABRIANA 4,CABRIANA 4,Fluyente,IBEG,EBRA,"1,9"
CBSIX,18W000000000TTLM,CBSIX,CBSIX,Solar fotovoltaica,GNRA,UPSON3,"1,1"
CC08HU,18W000000000SW6A,CC08HU,CC08HU,Comercializadores mercado libre,FORTI,FORTR01,"1,0"
CCAL,18W000000000ISPO,CCAL,CERRO CALDERON,Eólica terrestre,WMARK,EFWMARK,"4,0"
CCASC01,18W000000000NLNT,CCASC01,CCASC01 UP,Comercializadores mercado libre,COMER,CCASC01,"1,0"
CCATC01,18W-CCATC01-7--4,CCATC01,CCATC01,Comercializadores mercado libre,CCATR,CCATC01,"6,0"
CCDFW,18W000000000O6VH,CCDFW,CCDFW,Solar fotovoltaica,GNRA,FVGNRA,"3,6"
CCH1,18WCCH1-12345-AF,CONCHAS 1,LAS CONCHAS 1,Embalse,GNFG,UFGC,"12,5"
CCH2,18WCCH2-12345-A5,CONCHAS 2,LAS CONCHAS 2,Embalse,GNFG,UFGC,"12,6"
CCH3,18WCCH3-12345-AW,CONCHAS 3,LAS CONCHAS 3,Embalse,GNFG,UFGC,"24,1"
CCOLOR,18WCCOLOR-123-EE,CCOLOR,P.E. CUESTA COLORADA,Eólica terrestre,IBGES,EHIBGES,"49,5"
CCORA,18WCCORA-12345-S,CCORA,CORA COGENERACION SL,Gas natural cogeneración,NEXU,TCORCOG,"5,4"
CCOREN2,18W000000000R7RA,CCOREN2,CCOREN2,Gas natural cogeneración,DETIC,COGCORE,"3,5"
CCRUCES,18WCCRUCES-123-D,RE-025548,ARCOS DE GRABA SL,Eólica terrestre,NEXU,EFNEXU,"1,8"
CCUFW,18W000000000O9G1,CCUFW,CCUFW,Solar fotovoltaica,GNRA,FVGNRA,"2,5"
CDAMM1,18WCDAMM1-123--W,CDAMM1,CDAMM1,Gas natural cogeneración,DETIC,COGCDAM,"9,9"
CDB1,18WCDB1-12345-AW,CORDOBIL 1,CORDOBILLA 1,Fluyente,ENDG,GDLQ,"4,0"
CDB2,18WCDB2-12345-AM,CORDOBIL 2,CORDOBILLA 2,Fluyente,ENDG,GDLQ,"5,0"
CDB3,18WCDB3-12345-AC,CORDOBIL 3,CORDOBILLA 3,Fluyente,ENDG,GDLQ,"5,0"
CDEMORO,18WCDEMORO-123-3,CDEMORO,P.E. COLL DEL MORO,Eólica terrestre,IGNIS,ECOL,"48,7"
CDGARGA,18WCDGARGA-123-1,CDGARGA,CDGARGA,Eólica terrestre,HC G,HCGSCSA,"21,7"
CDMOLIN,18W000000000PS09,CDMOLIN,UF SOLAR CAÑADA MOLINO 2,Solar fotovoltaica,NEXU,FMOLINO,"0,9"
CDORADA,18WCDORADA-12-ED,CDORADA,P.E. CUEVA DORADA,Eólica terrestre,EGED,ECEGRG,"19,5"
CDP1,18W000000000KLEM,CDP1,CASASDP1,Solar fotovoltaica,SHEEN,SHEPV04,"47,4"
CDP2,18W000000000KLFK,CDP2,CASASDP2,Solar fotovoltaica,SHEEN,SHEPV05,"36,0"
CDRMN,18W000000000OYOL,CDRMN,CDRMN,Solar fotovoltaica,GNRA,FVGNRA,"1,5"
CDTENON,18WPECHNDTENON-2,CDTENON,P.E.CHAN DO TENON,Eólica terrestre,ECYR,EEGPEM,"22,4"
CEBAC01,18W-CEBAC01-4--7,CEBA,CEBA,Comercializadores mercado libre,CEA,CEBAC01,"6,3"
CEBIC01,18W000000000V15J,CEBIC01,CEBIN COMPRA,Comercializadores mercado libre,CEBIN,CEBIC01,"0,0"
CEBRIAN,18W000000000SF7M,CEBRIAN,PE SAN CEBRIAN,Eólica terrestre,EGLE,EPRADA3,"39,6"
CECAC01,18W-CECAC01-4--Y,CASTELLAR,CASTELLAR,Comercializadores mercado libre,CECA,CECAC01,"3,6"
CECAMPO,18WCECAMPO-123-J,CECAMPO,18WCECAMPO-123-J,Derivados del petróleo o carbón,EGLE,TNUCE,"3,9"
CED1,18WCED1-12345-AZ,CEDILLO 1,CEDILLO 1,Embalse,IBEG,TAJO,"121,3"
CED2,18WCED2-12345-AP,CEDILLO 2,CEDILLO 2,Embalse,IBEG,TAJO,"120,6"
CED3,18WCED3-12345-AF,CEDILLO 3,CEDILLO 3,Embalse,IBEG,TAJO,"127,4"
CED4,18WCED4-12345-A5,CEDILLO 4,CEDILLO 4,Embalse,IBEG,TAJO,"125,6"
CEDC01,18W00000000024YV,CEDSL,COMERCIALIZADORA DE ENERGA DIR,Comercializadores mercado libre,CEDSL,CEDC01,"0,1"
CEEEC01,18W-CEEEC01-4--F,CEEEC01 CO,COMPAÑÍA ESCANDINAVA DE ELECTR,Comercializadores mercado libre,CEEE,CEEEC01,"0,8"
CELAD,18WCELAD-12345-W,CELAD,P. E. CELADA V,Eólica terrestre,EGED,EGREEN1,"26,0"
CELAD1,18WCELAD1-1234-B,CELAD1,P. E. CELADA I,Eólica terrestre,EGED,EGREEN1,"34,0"
CELADFU,18W000000000N4UT,CELADFU,CELADAS FUSION,Eólica terrestre,EGED,EGREEN1,"44,8"
CELAYA,18WCELAYA-123-EV,CELAYA,P.E. CELAYA,Eólica terrestre,HC G,HCGSIHA,"28,8"
CELC01,18W-CELC01-45--Z,CELC01,CELC01,Consumos directos en mercado,CELL,CELC01,"7,0"
CELI,18WCELI-123456-0,CELI,COMPAÑÍA ENERGÉTICA DE LINARES,Gas natural cogeneración,GNRA,TCELISI,"25,0"
CELIS,18WCELIS-1234-AZ,CELIS,CELIS,Fluyente,EGED,HENANSA,"6,3"
CELSC01,18W0000000005OQC,CELSC01,CELSC01,Consumos directos en mercado,CELSA,CELSC01,"7.021,4"
CELSC02,18W0000000007HQP,CELSC02,CELSC02,Consumos directos en mercado,CELSA,CELSC02,"0,4"
CELVI,18WCELVI-1234--H,CELVI,COMPAÑÍA ENERGÉTICA LAS VILLAS,Gas natural cogeneración,GNRA,TCELVSI,"24,9"
CEMEC01,18W000000000SRG5,CEMENTO PE,CEMENTO PENINSULA,Comercializadores mercado libre,CEMEK,CEMEC01,"10,0"
CEMOS,18WCEMOS-12345-5,CEMOS,CELUSOSAS MOLDEADAS,Gas natural cogeneración,GEMSL,TCEMO,"4,8"
CEMRINQ,18WCEMRINQ-12--B,CEMRINQ,18WCEMRINQ-12--B,Gas natural cogeneración,NEXU,TCERMA,"9,9"
CEN121,18W000000000T6B0,CENTAURUS,CENTAURUS SOLAR FV121,Solar fotovoltaica,SOLRC,FCEN121,"40,4"
CENAR,18WCENAR-12345-W,CENAR,P. E. EL CENTENAR,Eólica terrestre,IBGES,EHIBGES,"40,0"
CENER2,18WCENER2-123-DO,CENER2,CENER2,Biomasa,CENER,RCENER,"40,9"
CENG01,18W000000000QS6U,FYEEXXI,"END CUR  ( TARIFA, FOTOVOLTAIC",Solar fotovoltaica,CENTS,CENG01,"0,0"
CENTC01,18W-CENTC01-3--G,CENTC01,CENTC01,Comercializadores mercado libre,CENTE,CENTC01,"0,0"
CENTCP3,18W-CENTCP3-8--V,CENTCP3,CENTCP3,Importación Francia,CENTE,CENTCP3,"300,0"
CENTE,18W000000000KHKM,CENTE,CENTE,Solar fotovoltaica,GNRA,FVGNRA,"3,5"
CENTVP3,18W-CENTVP3-9--N,CENTVP3,CENTVP3,Exportación Francia,CENTE,CENTVP3,"300,0"
CENVIA1,18W000000000SGNO,CENVIA1,UF SOLAR CENTROVIA 1,Solar fotovoltaica,NEXU,FCNVIA1,"9,2"
CENVIA2,18W000000000SGOM,CENVIA2,UF SOLAR CENTROVIA 2,Solar fotovoltaica,NEXU,FCNVIA2,"9,2"
CENVIA3,18W000000000SGPK,CENVIA3,UF SOLAR CENTROVIA 3,Solar fotovoltaica,NEXU,FCNVIA3,"9,1"
CEP116,18W000000000TZWJ,CEP116,CEP116,Solar fotovoltaica,SOLRC,FCEP116,"30,4"
CEPUE,18WCEPUE-12345-1,CEPUE,CIA. ENERGÉTICA PUENTE DEL OBI,Gas natural cogeneración,GNRA,TCEPUSI,"24,9"
CER1,18WCER1-12345-AT,CERNADILLA,CERNADILLA,Embalse,IBEG,DUER,"33,3"
CERANO2,18WCERANO2-12-DS,CERANO2,18WCERANO2-12-DS,Gas natural cogeneración,EGLE,TCRNOR,"9,9"
CERANOR,18WCERANOR-12-D1,CERANOR,18WCERANOR-12-D1,Gas natural cogeneración,EGLE,TCRNOR,"9,8"
CERCAL,18WCERCAL--12-EK,CERCAL,P.E. CERRO CALDERON,Eólica terrestre,IBGES,EHIBGES,"49,5"
CERCEDA,18WCERCEDA-123-Q,CERCEDA,18WCERCEDA-123-Q,Eólica terrestre,EGLE,EFGAVE,"2,5"
CERCEDO,18WCERCEDO-123-2,CERCEDO,CH CERCEDO,Fluyente,WMARK,HFWMARK,"3,0"
CERES1,18WCERES1-1234-T,CERES1,WHISKY DYC,Gas natural cogeneración,COGEN,TAE4COG,"6,4"
CERES2,18WCERES2-1234-L,CERES2,VINAZAS DYC,Gas natural cogeneración,COGEN,TAE5COG,"6,4"
CERLC01,18W000000000UOQN,CERLC01,CERLC01,Consumos directos en mercado,CERLE,CERLC01,"0,6"
CERRAT6,18W000000000SEH5,CERRAT6,PE CERRATO 6,Eólica terrestre,EGLE,ECERRA,"47,7"
CERRATO,18WCERRATO-123-J,CERRATO,CERRATO,Hidráulica - No UGH,CEG,HCERRAT,"4,0"
CERRILL,18W000000000QBBY,CERRILLARE,CERRILLARES-FV,Solar fotovoltaica,ALDRO,PLENFV1,"42,0"
CERRO,18WCERRO-1234-EI,CERRO,CERRO,Eólica terrestre,EGED,EGREEN,"30,0"
CERRODU,18WCERRODURANEO6,DURAN,P.E. CERRO DURAN,Eólica terrestre,HC G,HCGSCSA,"45,0"
CERROS,18WCERROS-1234-F,CERROS,18WCERROS-1234-F,Eólica terrestre,EGLE,EUNZUE,"4,5"
CERVUP,18W000000000QI0Z,FYIBCUR,"IB CUR  ( TARIFA, FOTOVOLTAICA",Solar fotovoltaica,ZRMTT,CERVUP,"1,0"
CESILLA,18WCESILLA-12--P,CESILLA,P.E. CERRO DE LA SILLA,Eólica terrestre,IBGES,EHIBGES,"15,3"
CESOC01,18W000000000GQ0E,CESOC01,UNIDAD DE COMPRA DE COMERCIALI,Comercializadores mercado libre,CESOS,CESOC01,"0,1"
CESPAF1,18WCESPAF1-123-5,CESPAF1,UF CESPA F1,Biogás,GNRA,RBCESPA,"3,1"
CESPALC,18W000000000TF8G,CESPALC,CESPALC,Biogás,EGLE,RUCESP,"1,0"
CESPARE,18WCESPARE-123-3,CESPARE,18WCESPARE-123-3,Biogás,EGLE,RURBA,"4,2"
CESPASP,18WCESPASP-123-T,CESPASP,18WCESPASP-123-T,Biogás,EGLE,RCESPA,"3,4"
CETAC01,18W-CETAC01-2--K,CETAL,COMERCIALIZADORA ELECTRICA TAL,Comercializadores mercado libre,CETAL,CETAC01,"1,0"
CETAPAL,18W000000000UBEC,CETAPAL,COG ASERPAL,Gas natural cogeneración,EGLE,TCETA,"6,6"
CETASAN,18W000000000UBFA,CETASAN,COG IND LOSAN,Gas natural cogeneración,EGLE,TCETA,"13,3"
CFAB,18WCFAB-12345-AU,CASTIFABIB,CASTIELFABIB,Fluyente,ENDG,EBRACC1,"1,1"
CFR1,18WCFR1-12345-AH,COFREN H 1,COFRENTES 1 HIDRA.,Embalse,IBEG,JUCA,"40,2"
CFR2,18WCFR2-12345-A7,COFREN H 2,COFRENTES 2 HIDRA.,Embalse,IBEG,JUCA,"40,5"
CFR3,18WCFR3-12345-AY,COFREN H 3,COFRENTES 3 HIDRA.,Embalse,IBEG,JUCA,"39,7"
CGCEASA,18WCGCEASA-123-Q,CGCEASA,COGENERACION CEASA NAVIA,Residuos varios,CEASA,RCOGENA,"40,3"
CGLAM,18W000000000PYS9,AYPGNR,A12 NO ALTA EFICIENCIA,Derivados del petróleo o carbón,GNRA,CGLAM,"1,0"
CGRISEL,18WCGRISEL-12-E9,CGRISEL,CGRISEL,Eólica terrestre,HISPE,RWESZN,"16,5"
CGRVO,18WCGRVO-12345-3,RE-105053,CONSORCI PER GESTIO DE RS VO,Biogás,NEXU,RCOGRVO,"1,2"
CHAC01,18W000000000U2GZ,CHAC01,CHARGE,Comercializadores mercado libre,CHARG,CHAC01,"1,0"
CHAEP,18W000000000V0Y1,CHAEP,CHAEP,Solar fotovoltaica,GNRA,UPCHAP,"36,3"
CHALAN,18W000000000G04A,CHALANGE,CH ALANGE,Fluyente,NEXU,HALANGE,"9,1"
CHAMBON,18WCHAMBON-12-EI,CHAMBON,P. E. CHAMBON,Eólica terrestre,IBGES,EHIBGES,"33,1"
CHAMERA,18WCHAMERA-123-2,CHAMERA,CHAMERA,Fluyente,GNRA,RAUN,"1,5"
CHANC01,18W000000000KRTB,CHANDUY,RECICLAJES ECOLGICOS CHANDUY S,Comercializadores mercado libre,CHAND,CHANC01,"1,0"
CHANTAD,18WCHANTAD-12-ES,CHANTAD,P.E. CHANTADA,Eólica terrestre,IGNIS,EGVENTO,"48,0"
CHAPARR,18WCHAPARR-123-0,CHAPARRO,P. E. CHAPARRO,Eólica terrestre,EGED,EGREEN1,"16,0"
CHASOL,18WCHASOL-1234-R,CHASOL,CHASOL,Solar térmica,ELEIA,SMASOL1,"49,9"
CHAVIA,18WCHAVIA-1234-S,CHAVIA,CH AVIA,Fluyente,GNCO,HFGASN,"9,4"
CHBARCO,18WCHBARCO-123-G,CHBARCO,18WCHBARCO-123-G,Fluyente,EGLE,HBARCO,"3,2"
CHBUBAL,18WCHBUBAL-123-Y,CHBUBAL,18WCHBUBAL-123-Y,Fluyente,ASIE,HFASIE,"4,2"
CHCABO,18WCHCABO-1234-J,CHCABO,18WCHCABO-1234-J,Fluyente,EGLE,HHIDGA,"4,9"
CHCADOS,18WCHCADOS-123-7,CHCADOS,18WCHCADOS-123-7,Fluyente,EGLE,HCADOS,"2,0"
CHCALM,18W000000000G10F,CHCALM,CH ALMAZAN,Fluyente,NEXU,HFNEXU,"1,5"
CHCANAS,18WCHCANAS-123-T,CHCANAS,SALTO DE LAS CANAS,Fluyente,WMARK,HFWMARK,"2,1"
CHCASTR,18WCHCASTR-123-O,CHCASTR,FERROATLANTICA-CASTRELO,Embalse,IGNIS,HCAST,"28,7"
CHCC01,18W-CHCC01-77--W,CHCC01,CIDE HCENERGÍA COMPRA,Comercializadores mercado libre,CHC,CHCC01,"15,0"
CHCLOT,18WCHCLOT-1234-B,CHCLOT,CHCLOT,Fluyente,INTRA,HHTTRIN,"2,5"
CHCOC01,18W-CHCOC01-9--3,CHCOC01,CHCOC01,Comercializadores mercado libre,CHCOR,CHCOC01,"200,0"
CHCOLPO,18W000000000TBOX,CHCOLPONS,CH COLONIA PONS,Hidráulica - No UGH,INTRA,HHTTRIN,"1,2"
CHCORA,18W000000000FZYY,CHCORA,CH CORADA,Fluyente,NEXU,HCORADA,"5,0"
CHCORC,18W000000000G0ZM,CHCORC,CH CORCOESTO,Fluyente,NEXU,HFNEXU,"1,1"
CHDORNA,18WCHDORNA-123-C,CHDORNA,DORNA,Fluyente,GNCO,HFGASN,"2,6"
CHENC01,18W000000000SKQ6,CHURCH,CHURCH ENERGY SL,Comercializadores mercado libre,CHURC,CHENC01,"1,0"
CHERC01,18W-CHERC01-8--Y,SOT CHERA,SOT CHERA,Comercializadores mercado libre,CHERA,CHERC01,"1,1"
CHETXL4,18WCHETXL4-123-T,CHETXL4,CH SALTO ETXALAR,Fluyente,INTRA,HHTTRIN,"1,6"
CHFECH,18W000000000G139,CHFECH,CH FECHA,Fluyente,NEXU,HFNEXU,"2,2"
CHFERR,18W000000000G155,CHFERR,CH FERRERAS,Fluyente,NEXU,HFNEXU,"2,8"
CHFRAGO,18WCHFRAGO-123-Y,CHFRAGO,18WCHFRAGO-123-Y,Fluyente,EGLE,HHIDFR,"4,0"
CHFRES,18W000000000FZML,CH FRESER,CH FRESER,Fluyente,NEXU,HFRESER,"6,4"
CHGALLU,18WCHGALLU-123-C,CHGALLU,18WCHGALLU-123-C,Fluyente,EGLE,HGALLU,"3,5"
CHGARES,18WCHGARES-123-S,CH GARES,CH GARES,Fluyente,INTRA,HHTTRIN,"1,1"
CHGRAUS,18WCH-GRAUS----X,CH GRAUS,C.HIDRAULICA GRAUS,Fluyente,ECYR,HREGPE,"2,1"
CHGUARD,18W000000000N633,CHGUARD,CH GUARDA,Fluyente,HC G,HCHI2,"0,6"
CHIDONA,18W000000000MP0U,CHIDONAI,PSF ARCHIDONA I,Solar fotovoltaica,EGLE,FANPU,"7,0"
CHIERRO,18WCHIERRO-12-EK,CHIERRO,P.E. DE CRUZ DE HIERRO,Híbrida Renovable,HC G,HIBSIHA,"25,8"
CHIL,18WCHIL-12345-A3,CHILLAR,CHILLAR 1,Fluyente,ENDG,GDLQ,"0,7"
CHINCH,18W000000000RK7B,CHCHINCHA,CHCHINCHA,Fluyente,INTRA,HDALT02,"1,4"
CHINEST,18W000000000SLXQ,FV CHINEST,FV CHINESTRA,Solar fotovoltaica,DREUA,FDREU10,"1,5"
CHIR,18WCHIR-12345-AH,CHIRRISQUI,CHIRRISQUIN,Fluyente,BARER,BEREBRO,"0,5"
CHISC01,18W000000000E1B1,CHISTA_COM,UP_LACHISTABINA_COMPRAS,Comercializadores mercado libre,COMCH,CHISC01,"0,1"
CHJALON,18WCHJALON-123-4,CHJALON,18WCHJALON-123-4,Fluyente,EGLE,HPEGLE,"0,5"
CHJERT,18W000000000G00I,CHJERT,CH JERTE,Fluyente,NEXU,HJERTE,"5,4"
CHLAISA,18W000000000Q9C1,CHLAISA,CH LA ISABELA,Fluyente,WMARK,HFWMARK,"1,8"
CHLLOR,18W000000000FZOH,CH LLORENS,CH LLORENS,Embalse,NEXU,HLLOREN,"10,0"
CHMERZA,18WCHMERZA-123-S,CHMERZA,18WCHMERZA-123-S,Fluyente,EGLE,HFOHIS,"2,9"
CHMOLI,18W000000000FZS9,CHMOLI,CH MOLINOS,Fluyente,NEXU,HMOLINO,"13,5"
CHMOLIN,18WCHMOLIN-123-R,CHMOLIN,CHMOLIN,Embalse,GNCO,HFGASN,"4,1"
CHN1,18WCHN1-12345-A0,CHANDREJ 1,CHANDREJA 1,Embalse,IBEG,SIL,"1,7"
CHN2,18WCHN2-12345-AR,CHANDREJ 2,CHANDREJA 2,Embalse,IBEG,SIL,"1,6"
CHOCB,18W000000000RWU3,CHOCB,CHOCB,Solar fotovoltaica,GNRA,FVGNRA,"1,7"
CHOLATE,18WCHOLATE-123-Z,CHOLATE,UF C.H. OLATE,Fluyente,GOIEN,HONATIK,"4,7"
CHORRAL,18WCHORRAL-12--B,CHORRAL,P.E. CHORREADEROS ALTOS,Eólica terrestre,IBGES,EHIBGES,"20,5"
CHORRBA,18WCHORRBA-123-V,CHORRBA,P.E. CHORREADEROS BAJOS,Eólica terrestre,IBGES,EHIBGES,"30,0"
CHOVA,18WCHOVA-12345-2,CHOVA,CHOVA,Gas natural cogeneración,DETIC,COGCHOV,"5,2"
CHPONTE,18WCHPONTE-123-P,CHPONTE,18WCHPONTE-123-P,Fluyente,EGLE,HENGAG,"3,2"
CHPORM,18W000000000G066,CHPORMA,CH PORMA,Embalse,NEXU,HPORMA,"18,5"
CHRAMAL,18WCHRAMAL-123-X,CHRAMAL,18WCHRAMAL-123-X,Fluyente,EGLE,HNORHI,"4,0"
CHRDEVA,18WCHRDEVA-123-L,CHRDEVA,18WCHRDEVA-123-L,Fluyente,EGLE,HSANMI,"4,9"
CHSARDO,18WCHSARDO-123-6,CHSARDO,CHSARDON,Fluyente,EGLE,HNORHI,"1,4"
CHTAMBR,18WCHTAMBR-123-Z,CHTAMBR,CHTAMBR,Fluyente,GNCO,HFGASN,"8,4"
CHTAMCA,18WCHTAMCA-123-Z,CHTAMCA,TAMBRE CABALAR,Fluyente,GNCO,HFGASN,"1,8"
CHTELD,18W000000000G147,CHTELD,CH TELDEHE,Fluyente,NEXU,HFNEXU,"2,2"
CHU1,18WCHU1-12345-AY,CHULILLA 1,CHULILLA 1,Fluyente,ASIE,ASIJUCA,"0,9"
CHU2,18WCHU2-12345-AO,CHULILLA 2,CHULILLA 2,Fluyente,ASIE,ASIJUCA,"0,9"
CHU3,18WCHU3-12345-AE,CHULILLA 3,CHULILLA 3,Fluyente,ASIE,ASIJUCA,"1,0"
CHUCENA,18W000000000UEV6,CHUCENA,UF SOLAR CHUCENA,Solar fotovoltaica,NEXU,FHUCENA,"29,6"
