codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
SQR2,18WSQR2-12345-A0,SEQUEIRO 2,SEQUEIROS 2,Embalse,IBEG,SIL,"6,2"
SQR3,18WSQR3-12345-AR,SEQUEIRO 3,SEQUEIROS 3,Embalse,IBEG,SIL,"6,5"
SQUITE,18WSQUITE-123-EV,SQUITE,P.E. SANTA QUITERIA,Eólica terrestre,HC G,HCGSIHA,"36,0"
SRI3,18WSRI3-12345-DY,SOTO RIB 3,SOTO DE LA RIBERA  (G.3),Hulla antracita,HC G,SRI3,"346,2"
SRI4,18WSRI4-123456-V,SRI4,SOTO RIBERA GRUPO 4,Ciclo combinado,HC G,SRI4,"426,0"
SRI5,18WSRI5-12345--5,SOTO 5,C.C. SOTO DE RIBERA 5,Ciclo combinado,CCSR4,SRI5,"428,1"
SRM1,18WSRM1-12345-AG,S.RAMON 1,SAN RAMON 1,Fluyente,ENDG,GDLQ,"0,2"
SRM2,18WSRM2-12345-A6,S.RAMON 2,SAN RAMON 2,Fluyente,ENDG,GDLQ,"0,3"
SRM3,18WSRM3-12345-AX,S.RAMON 3,SAN RAMON 3,Fluyente,ENDG,GDLQ,"0,4"
SROM,18WSROM-12345-A6,S.ROMAN,SAN ROMAN,Fluyente,IBEG,DUER,"5,5"
SROQ1,18WSROQ1-1234-CJ,S.ROQUE 1,SAN ROQUE 1,Ciclo combinado,GNCC,SROQ1,"389,8"
SROQ2,18WSROQ2-1234-CA,S.ROQUE 2,SAN ROQUE 2,Ciclo combinado,ENDG,SROQ2,"401,8"
SRQE,18W000000000S9GM,SRQE,SRQE,Eólica terrestre,REPSB,ESRQE,"15,0"
SRS1,18WSRS1-12345-AO,SEROS 1,SEROS 1,Embalse,ENDG,EBRFEN,"10,9"
SRS2,18WSRS2-12345-AE,SEROS 2,SEROS 2,Embalse,ENDG,EBRFEN,"10,9"
SRS3,18WSRS3-12345-A4,SEROS 3,SEROS 3,Embalse,ENDG,EBRFEN,"10,9"
SRS4,18WSRS4-12345-AV,SEROS 4,SEROS 4,Embalse,ENDG,EBRFEN,"10,9"
