up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
ADXVD06,RS GENERIBER,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Térmica Renovable,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXVD07,T GENERIBER,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Térmica no,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AE10COG,AE10COG,"ENERGY BY COGEN, S.L.U",,,,,1,Gas Natural Cogeneración,,,2.0,DIBAQ1|GARCBAQ,DIBAQ|GARCBAQ,COGEN,eSIOS UP + OMIE exact code + eSIOS UF,
AE11COG,AE11COG,"ENERGY BY COGEN, S.L.U",,,,,1,Gas Natural Cogeneración,,,1.0,AOIZ,AOIZ,COGEN,eSIOS UP + OMIE exact code + eSIOS UF,
AE12COG,AE12COG,"ENERGY BY COGEN, S.L.U",,,,,1,Gas Natural Cogeneración,,,1.0,PASERT,PASERTEX,COGEN,eSIOS UP + OMIE exact code + eSIOS UF,
AEIDGEN,AEROGENERA,WIND TO MARKET,,,,,1,Eólica terrestre,,,2.0,AEIDG87|AEIDG90,AEIDG87|AEIDG90,WMARK,eSIOS UP + OMIE exact code + eSIOS UF,
AENEC01,AVAENERC,COX ENERGIA COMERCIALIZADORA,,,,,1,Comercializadores mercado libre,,,1.0,AENEC01,AVAENERC,AENER,eSIOS UP + OMIE exact code + eSIOS UF,
AEQC01,AEQ,"AEQ W2M, S.A.",,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,AEQC01,AEQ,AEQ,eSIOS UP + OMIE exact code + eSIOS UF,
AFALZ4C,AFALZ4C,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BALZC,BALZC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFALZ5C,AFALZ5C,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BALZIIC,BALZIIC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIANHC,AFIANHC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BANDEC,BANDEC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIBGEC,AFIBGEC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,ABADC,ABADC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIBGEV,AFIBGEV,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,GENERACION,ZONA ESPAÑOLA,1.0,ABADV,ABADV,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIBHEC,AFIBHEC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BURKIC,BURKIC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIBHFC,AFIBHFC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BPLLANC,BPLLANC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIOLHC,AFIOLHC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BOLMEC,BOLMEC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIREHC,AFIREHC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BREVIC,BREVIC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
AFIROHC,AFIROHC,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento,ALMACENAMIENTO,ZONA ESPAÑOLA,1.0,BROMEC,BROMEC,IBGES,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
