uf_code,uf_name,up_code,subject_code,technology_esios
INTREIN,INTREIN,CD04R01,DETIC,Consumos directos en mercado
INTSOG2,INTSOG2,CD03R01,DETIC,Consumos directos en mercado
INTSOGA,INTSOGA,CD03R01,DETIC,Consumos directos en mercado
INTVD02,FV MEN1MW,INTVD02,INTRA,Solar fotovoltaica
INUSA,INUSA,RINUSA,CEG,Biogás
INUSC01,INUSC01,INUSC01,INUSK,Comercializadores mercado libre
INVES,INVES,EGREEN,EGED,Eólica terrestre
INVVC01,INVVC01,INVVC01,INVEV,Consumos directos en mercado
IONAC01,IONAC01,IONAC01,IONA,Comercializadores mercado libre
IONMN,IONMN,UPSON2,GNRA,Solar fotovoltaica
IP1,IP 1G,CHIPG,ENDG,Turbinación bombeo
IP1B,IP 1B,CHIPB,ENDG,Consumo bombeo
IP2,IP 2G,CHIPG,ENDG,Turbinación bombeo
IP2B,IP 2B,CHIPB,ENDG,Consumo bombeo
IP3,IP 3G,CHIPG,ENDG,Turbinación bombeo
IP3B,IP 3B,CHIPB,ENDG,Consumo bombeo
IPLANA,IPLANA,EFWMARK,WMARK,Eólica terrestre
IPLANAA,IPLANAA,EFWMARK,WMARK,Eólica terrestre
IRABIA,IRABIA,HFEGED,EGED,Fluyente
IRATI,IRATI,HFEGED,EGED,Fluyente
IRISC01,IRIS,IRISC01,IRIS,Comercializadores mercado libre
IRUELAS,IRUELAS,EGREEN,EGED,Eólica terrestre
IRUGU,IRUGU,ZERBI,GNRA,Fluyente
ISABELA,ISABELA,EHIBGES,IBGES,Eólica terrestre
ISAEC01,ISAEC,ISAEC01,ISAEC,Comercializadores mercado libre
ISEOC01,ISEOC01,ISEOC01,ISEO,Consumos directos en mercado
ISIDRO1,ISIDRO1,HCHI,HC G,Fluyente
ISIDRO2,ISIDRO2,HCHI,HC G,Fluyente
ISLA,ISLALUZ,HYISLA,CEG,Hidráulica - No UGH
ISLETES,ISLETES,EHIBGES,IBGES,Eólica terrestre
ISLONIA,ISLONIA,RISLON,GEMSL,Biomasa
ISMCCXF,PORGENC,ISMCCX1,ISMSL,Porfolio
ISMCVXF,PORGENV,ISMCVX1,ISMSL,Porfolio
ISMPCXF,PORGENC,ISMPCX1,ISMSL,Porfolio
ISMPVXF,PORGENV,ISMPVX1,ISMSL,Porfolio
ISMSC01,ISMCOM,ISMSC01,ISMSL,Comercializadores mercado libre
ISMSR01,ISMSR01,ISMSR01,ISMSL,Comercializadores mercado libre
ISYDC01,UPC ISYDE,ISYDC01,ISYDE,Comercializadores mercado libre
ITAMAR,ES-ITAMAR,FITAMAR,EBLCO,Solar fotovoltaica
IURRETA,IURRETA,RSMURFT,SMURF,Residuos varios
IZBOR,C.H.IZBOR,HEGPE,ECYR,Embalse
IZN1,IZNAJAR 1,GDLQ,ENDG,Embalse
