codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
UNELC01,UNELC01,UNIELECTRICA ENERGIA,18WUNELC01-123-X,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,UNEL,"0,2"
UNIPC01,UNIPER,UNIPER,18W000000000LQ2R,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EON,"10,0"
UP_COGF,UP_COGFUTN,UP_COGENERACION NO ALTA EFICIENCIA,18W0000000005E84,Gas Natural Cogeneración,Venta,España,SZR,Generación,FUTGR,"0,4"
UPACAC,UPCOMPRA,UP ACADIEMS COMPRA,18W000000000T7ZN,Almacenamiento,Compra,España,IGNIS ,Unidades de almacenamiento,IGNIS,"1,0"
UPACAMP,UPACAMPO,UP CF ACAMPO ESTREN 11498,18W000000000RR9N,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"25,0"
UPACAV,UPACADIEMV,UP ACADIEMS VENTA,18W000000000T81E,Almacenamiento,Venta,España,IGNIS ,Unidades de almacenamiento,IGNIS,"1,1"
UPACUI,UPACUI,UPACUI,18W000000000UQ4O,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,8"
UPADEL,UPADELFA,UP ADELFA SOLAR,18W000000000TBM0,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"46,5"
UPADGI,UPADGI,UPADGI,18W000000000UQ5M,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,8"
UPAGA,UPAGA,UPAGA,18W000000000SIJQ,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"18,0"
UPAGB,UPAGB,UPAGB,18W000000000SIQC,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"22,0"
UPAGE,UPAGE,UPAGE,18W000000000UXPZ,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"4,5"
UPAGUI,UPAGUILA,UP UF EL AGUILA,18W000000000VFEX,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"32,3"
