codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
EPPJAR,EPPJAR,18WEPPJAR-123-1U,18WEPPJAR-123-1U,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"49,5"
EPPOZA,EPPOZA,EPPOZA,18WEPPOZA-1234-S,Eólica terrestre,Venta,España,SZR,Generación,IGNIS,"97,6"
EPRADA,EPRADA,PE LA LOMA,18W000000000ONE0,Eólica terrestre,Venta,España,AXPO ,Generación,EGLE,"28,6"
EPRADA2,EPRADA2,UP PINGUIN,18W000000000R3SK,Eólica terrestre,Venta,España,AXPO ,Generación,EGLE,"100,0"
EPRADA3,EPRADA3,UP  INS SAN CEBRIAN PRADA,18W000000000SF6O,Eólica terrestre,Venta,España,AXPO ,Generación,EGLE,"39,6"
EPRADA4,EPRADA4,UP PE LAS ATALAYAS,18W000000000T24Q,Eólica terrestre,Venta,España,AXPO ,Generación,EGLE,"49,5"
EPROTO,EPROTO,18WEPROTO-1234-M,18WEPROTO-1234-M,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"3,0"
EPRSC01,EPRESA CO,"EPRESA ENERGIA, S.A.U.",18WEPRSC01-12-2A,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EPRSA,"9.999,0"
EPTRIZ,EPTRIZ,18W000000000N3VU,18W000000000N3VU,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"49,9"
EPU50,EPU50,ENCE ENERGIA PUERTOLLANO,18W000000000FFIF,Biomasa,Venta,España,ENCE ,Generación,PU100,"50,0"
EPUEYO,EPUEYO,18WEPUEYO-123--M,18WEPUEYO-123--M,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"4,9"
EQUAC01,EQUAC01,COMPRA COMERCIALIZADORA,18W000000000TRAD,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EQUAN,"1,0"
ERALTA,ERALTA,18WERALTA-1234-V,18WERALTA-1234-V,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"34,0"
ERANCHO,ERANCHO,UP EOLICA RANCHOV,18W000000000N3CV,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"14,4"
EREA,EREA,EREA,18W000000000P1LB,Eólica terrestre,Venta,España,SZR,Generación,HISPE,"40,8"
EREDON,EREDON,EOLICA EL REDONDAL,18W000000000IQRQ,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"30,6"
EREGPE1,EREGPE1,EOL NO HAB SA,18W000000000C7QZ,Eólica terrestre,Venta,España,SZR,Generación,ECYR,"98,8"
EREGPEM,EREGPEM,REPRESENTADA MERCADOS DE AJUSTE,18WEREGPEM-123-F,Eólica terrestre,Venta,España,SZR,Generación,ECYR,"543,3"
EREGPES,EREGPES,EREGPES EOL SEC,18W000000000RVLO,Eólica terrestre,Venta,España,END ,Generación,ECYR,"142,0"
EREGPEV,EREGPEV,EREGPEV,18W000000000UHEV,Eólica terrestre,Venta,España,END ,Generación,ECYR,"275,5"
ERENC01,ERENC01,ENDESA ENERGIA RENOVABLE,18W000000000FBJP,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EEREN,"0,0"
EREPSOH,EREPSOH,EREPSOH,18W000000000U8L7,Híbrida renovable,Venta,España,SZR,Unidades hibridas,REPSB,"306,4"
EREPSOL,EREPSOL,EREPSOL,18W000000000IVA8,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"98,8"
ERIANSA,ERIANSA,PARQUE EOLICO RIANSARES,18W000000000OY3Q,Eólica terrestre,Venta,España,SZR,Generación,EBLCO,"17,3"
EROBRE,EROBRE,EROBRES,18W000000000V5FO,Eólica terrestre,Venta,España,SZR,Generación,ACENH,"6,0"
EROCH,ROCHA,ROCHA,18W000000000RG3V,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"80,0"
EROME,EROME,EROME,18W000000000SP06,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"14,4"
ERONDA,ERONDA,PARQUE EOLICO RONDAVINO,18W00000000032U4,Eólica terrestre,Venta,España,SZR,Generación,WMARK,"2,0"
EROUCP3,EROUTE,ELECTROROUTE ENERGY TRADING LIMITED,18WELECTROROUTEP,Exportación Francia,Compra,Francia-España,SZR,Comercializador internacional,EROUT,"50,0"
EROUVP3,EROUT,ELECTROROUTE ENERGY TRADING LIMITED,18WEROUVP3-123-F,Importación Francia,Venta,Francia-España,SZR,Comercializador internacional,EROUT,"50,0"
ERPCC01,UP COMPRA,UP COMPRA ENERGETICA,18W000000000Q8E0,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ENEDJ,"5,0"
ERPCFV0,UP PER FV,UNIDAD DE PROGRAMACION PARA EL PORFOLIO FV,18W000000000QOJG,Solar fotovoltaica,Venta,España,SZR,Generación,ENEDJ,"13,3"
ERPCFV1,UP GEN FV,UP GENERICA FV ENERGETICA,18W000000000R37P,Solar fotovoltaica,Venta,España,SZR,Generación,ENEDJ,"4,6"
ERPCHI0,UP PER H,UNIDAD DE PROGRAMACION PARA PORTFOLIA HIDRAULICO,18W000000000QV9F,Hidráulica no UGH,Venta,España,SZR,Generación,ENEDJ,"1,9"
ERPCHI1,UPHMENOR1,UP PER H MENOR 1,18W000000000SI6F,Hidráulica no UGH,Venta,España,SZR,Generación,ENEDJ,"0,8"
ERRIBGE,ERRIBGE,EOLICAS RENOVABLES RIOJA,18W000000000SNGH,Eólica terrestre,Venta,España,SZR,Generación,IBGES,"106,8"
ERUNAG,ERUNAG,PARQUE EOLICO A RUÑA,18WERUNAG--12-1K,Eólica terrestre,Venta,España,SZR,Generación,EGED,"24,6"
ES-EYPP,CAÑADA,FV CAÑADA LENTISCO,18W000000000POP8,Solar fotovoltaica,Venta,España,SZR,Generación,EPYM,"4,4"
ES-FGEN,MAZARRON,MAZARRON SOLIDA,18W000000000PY6G,Solar fotovoltaica,Venta,España,SZR,Generación,ISMSL,"4,5"
ES-FINV,MAYA,MAYA,18W000000000PW4Q,Solar fotovoltaica,Venta,España,SZR,Generación,ISMSL,"2,7"
ES-HCAB,UP HCABB,UP HCABB,18W000000000Q411,Hidráulica no UGH,Venta,España,SZR,Generación,GEMSL,"6,7"
ES-RCAB,UP RCABB,UP RCABB,18W000000000Q403,Biogás,Venta,España,SZR,Generación,GEMSL,"3,3"
ES-SROC,UPROCI2,ROLWIND HUELVA 2 SLU,18W000000000Q0AW,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"46,0"
ESANCHO,PESANCHOA,PESANCHOA,18W000000000MEQB,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"10,2"
ESARDON,ESARDON,EOLICA EL SARDON,18W000000000IQTM,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"25,5"
ESAV,PESAVILA,ELICA SIERRA DE AVILA SL,18W000000000P3AR,Eólica terrestre,Venta,España,SZR,Generación,IGNIS,"68,2"
ESBUC01,ESBUS,ESTACION AUTOBUSES,18W0000000005WMX,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,ESBUS,"0,1"
ESC6,ESC IBER 6,C.T.C.C.ESCOMBRERAS,18WESC6-12345-07,Ciclo Combinado,Venta,España,IBEG ,Generación,IBGT,"815,6"
ESCANDE,ESCANDELLA,ESCANDELLA COGEN,18WESCANDE-12--V,Gas Natural Cogeneración,Venta,España,SZR,Generación,LMER,"6,5"
ESCCC1,ESCCC1,CCGT GDF SUEZ CARTAGENA ENERGÍA ESCOMBRERAS GRUPO I,18WESCCC1-123-0T,Ciclo Combinado,Venta,España,GDF ,Generación,CARTA,"402,6"
ESCCC1X,ESCCC1X,UP ADQUISICIÓN SSAA ESCCC1,18WESCCC1X--1--D,Consumo de Servicios Auxiliares,Compra,España,SZR,Servicios auxiliares,CARTA,"8,0"
ESCCC2,ESC GDF 2,CCGT GDF SUEZ CARTAGENA ENERGÍA ESCOMBRERAS GRUPO II,18WESCCC2-123-0L,Ciclo Combinado,Venta,España,SZR,Generación,CARTA,"401,3"
ESCCC2X,ESCCC2X,UP ADQUISICIÓN SSAA ESCCC2,18WESCCC2X-12--S,Consumo de Servicios Auxiliares,Compra,España,SZR,Servicios auxiliares,CARTA,"8,0"
ESCCC3,ESC GDF 3,CCGT GDF SUEZ CARTAGENA ENERGÍA ESCOMBRERAS GRUPO III,18WESCCC3-123-0D,Ciclo Combinado,Venta,España,GDF ,Generación,CARTA,"395,2"
ESCCC3X,ESCCC3X,UP ADQUISICIÓN SSAA ESCCC3,18WESCCC3X-12--K,Consumo de Servicios Auxiliares,Compra,España,SZR,Servicios auxiliares,CARTA,"8,0"
ESCU4,ESC4,ESCUDER4,18W000000000PKE5,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,3"
ESDCAND,ESDCAND,EOLICA SERRA DO CANDO,18W000000000IQVI,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"29,2"
ESDOC01,ESDOMO,ESDOMO ENERGIA SL,18W000000000HC71,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ESDOM,"1,0"
ESEG,SEGURA,SEGURA,18W000000000RQ23,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"77,5"
ESEGC01,UP_SEGE,UP_SEGE,18W000000000R9HO,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,SOCIN,"1,0"
ESEIXO,ESEIXO,EOLICA MONTE SEIXO,18W000000000IQUK,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"34,9"
ESEOUR,ESEOUR,18WESEOUR-1234-M,18WESEOUR-1234-M,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"7,8"
ESERC01,ESERO COM,ELECTRICA SEROSENSE (NACIONAL),18WESERC01-12-2G,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ESERO,"0,0"
ESHAC01,HANWHA,HANWHA ENERGY RETAIL SPAIN SLU,18W000000000H8LM,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ESHAN,"1,0"
ESIEMIN,ESIEMIN,18WESIEMIN-123-4,18WESIEMIN-123-4,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"42,0"
ESIERAR,SIERRA,SIERRA,18W000000000MEHT,Eólica terrestre,Venta,España,SZR,Generación,HISPE,"22,0"
ESLA,ESLA,COGENERACION ESLA,18WESLA-123456-Y,Gas Natural Cogeneración,Venta,España,SZR,Generación,LMER,"3,8"
ESOLANS,PE SOLANS,PARQUE EOLICO SOLANS,18W000000000PLKR,Eólica terrestre,Venta,España,EN1 ,Generación,EBLCO,"44,0"
ESOMERS,ESOMERS,18WESOMERSA-1-11,18WESOMERSA-1-11,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"10,5"
ESQUI,ESQUILEO,ESQUILEO,18W000000000U3JQ,Eólica terrestre,Venta,España,SZR,Generación,RENSP,"46,8"
ESRQE,ESRQE,ESRQE,18W000000000S9FO,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"61,8"
ESTEV,ESTEV,ESTEV,18W000000000SAKB,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"31,0"
ESTEVE,ESTEVE,ESTEVE,18W000000000OJ6S,Gas Natural Cogeneración,Venta,España,SZR,Generación,LMER,"1,9"
ESTVNTO,ESTVNTO,UP EOLICA SOTAVENTO,18W000000000S07U,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"17,6"
ETBLRES,ETBLRES,UP EOLICA TABLARES,18W000000000RPZE,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"0,8"
ETEJONE,ETEJONE,UP EOLICA TEJONER,18W000000000N3DT,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"32,0"
ETMA,PETMADRINA,PARC ELIC DE TORRE MADRINA SLU,18W000000000P3CN,Eólica terrestre,Venta,España,IGS ,Generación,IGNIS,"50,0"
ETNEC01,ETNER,ETER ENERGIA,18W000000000IXHP,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ETNER,"1,0"
ETO1,ETO1,EL TORCIO,18WETO1-123456-5,Hidráulica UGH,Venta,España,SZR,Generación,BARER,"0,7"
ETRIGO,ETRIGO,EOLICA SIERRA DE TRIGO,18W000000000IQOW,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"15,1"
ETSOC01,ETSOC01,ENERGY TRADER SOLUTION SL,18WENERGYTRADERY,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ETSOL,"0,1"
EUCDR01,EUCDR01,EUCDR01,18W000000000OTN1,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,WMARK,"15,0"
EUEUZA,EUEUZA,18WEUEUZA-1234-T,18WEUEUZA-1234-T,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"4,5"
EUJARAL,EUJARAL,UW-JARALES,18WEUJARAL-123-5,Eólica terrestre,Venta,España,SZR,Generación,CEG,"16,5"
EULAYAL,EULAYAL,EOL UW LOMA AYALA,18WEULAYAL-123-V,Eólica terrestre,Venta,España,SZR,Generación,CEG,"19,5"
EUNION,EUNION,EUNION,18WEUNION-1234-8,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"5,2"
EUNTAL,EUNTAL,18WEUNTAL-1234-3,18WEUNTAL-1234-3,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"26,0"
EUNZUE,EUNZUE,18WEUNZUE-1234-4,18WEUNZUE-1234-4,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"4,5"
EUW3VIL,EUW3VIL,UW - TRES VILLAS,18WEUW3VIL-123-H,Eólica terrestre,Venta,España,SZR,Generación,CEG,"49,5"
EVALDET,EVALDET,EOL VALDETELLAS,18W000000000IZ3A,Eólica terrestre,Venta,España,SZR,Generación,CEG,"49,9"
EVALDLU,EVALDLU,EVALDLU,18W000000000PRN3,Eólica terrestre,Venta,España,EVM2 ,Generación,CEG,"18,0"
EVALLE,PE VALLE,PARQUE EOLICO VALLE,18W000000000OVSM,Eólica terrestre,Venta,España,EN1 ,Generación,EBLCO,"48,5"
EVAR,PEARCS,VILALBA DELS ARCS SLU,18W000000000P3EJ,Eólica terrestre,Venta,España,IGS ,Generación,IGNIS,"25,0"
EVDCONE,EVDCONE,EOLICA VALDECONEJOS,18W000000000IQXE,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"32,3"
EVDERRO,EVDERRO,UP EOLICA VALDEHIERRO,18W000000000UP7L,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"12,6"
EVDMOG,EVDMOG,PARQUE EOLICO VIRXE DO MONTE,18WEVDMOG-123-1M,Eólica terrestre,Venta,España,SZR,Generación,EGED,"19,2"
EVECIA,EVECIA,18WEVECIA-1234-H,18WEVECIA-1234-H,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"30,0"
EVESTA,EVESTA,18WEVESTA-1234-H,18WEVESTA-1234-H,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"2,1"
EVIENG,EVIENG,VIENTOS GESTIONABLE,18W000000000QECN,Eólica terrestre,Venta,España,SZR,Generación,REPSB,"7,6"
EVILLAN,EVILLAN,EOLICA VILLANUEVA,18WEVILLAN-12-1G,Eólica terrestre,Venta,España,SZR,Generación,EGED,"19,8"
EVIVC01,UP E_VIVA,UP ENERGA VIVA SPAIN,18W0000000000UV4,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EVIVA,"0,5"
EVIVV01,EVIVV01,EVIVA VENTA,18W000000000QSXD,Solar fotovoltaica,Venta,España,SZR,Generación,EVIVA,"0,1"
EVMER01,EVMER01,UP EVM SRAD,18W000000000QOGM,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,CENTE,"3,0"
EVOLTOR,EVOLTOR,UP EOLICA SVOLTOR,18W000000000N3ER,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"16,0"
EWIESRB,EWIESRB,EOLICA TARIFA,18WEWIESRB-123-P,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"21,0"
EXISC01,EXISC01,EXIS COMPONENTS SL,18W000000000TDNT,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,EXISC,"0,2"
EXUNQUE,PE XUNQUEI,PARQUE EOLICO XUNQUEIRA,18W000000000OVTK,Eólica terrestre,Venta,España,EN1 ,Generación,EBLCO,"9,0"
EYCEC01,EYCEC01,EYCEC01,18W0000000005XMU,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EYCE1,"0,1"
EYEEXXI,EYEEXXI,"ENDESA CUR  ( TARIFA, EÓLICA, NO EXENTA)",18WEYEEXXI-123-E,Eólica terrestre,Venta,España,SZR,Generación,EEXXI,"0,0"
EYEFG,EYEFG,UP EOLICA TARIFA CON DESVIOS,18WEYEFG-12345-P,Eólica terrestre,Venta,España,SZR,Generación,EFG,"0,2"
EYEGLE,EYEGLE,"EGLE ( EÓLICA,TARIFA,NO EXENTO )",18WEYEGLE-1234-U,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"1,5"
EYEONUR,EYEONUR,"E.ON CUR ( TARIFA, EÓLICA, NO EXENTA)",18WEYEONUR-123-2,Eólica terrestre,Venta,España,SZR,Generación,EONUR,"0,0"
EYGESTE,EYGESTE,EYGESTE,18WEYGESTE-123-N,Eólica terrestre,Venta,España,SZR,Generación,GESTE,"0,7"
EYGNSUR,EYGNSUR,"GAS NATURAL SUR SDG ( TARIFA, EÓLICA, NO EXENTA)",18WEYGNSUR-123-J,Eólica terrestre,Venta,España,SZR,Generación,GNSUR,"0,0"
EYHCCUR,EYHCCUR,"HIDROCANTABRICO CUR ( TARIFA, EÓLICA, NO EXENTA)",18WEYHCCUR-123-3,Eólica terrestre,Venta,España,SZR,Generación,HCCUR,"0,0"
EYIBCUR,EYIBCUR,"IBERDROLA CUR  ( TARIFA, EÓLICA, NO EXENTA)",18WEYIBCUR-123-2,Eólica terrestre,Venta,España,SZR,Generación,IBCUR,"33,5"
EYMOTAR,EYMOTAR,EYMOTAR,18W000000000TIZR,Eólica terrestre,Venta,España,SZR,Generación,DETIC,"2,6"
EYNEXU,EYNEXU,"NEXU ( EOLICA, TARIFA, NO EXENTO)",18WEYNEXU-1234-B,Eólica terrestre,Venta,España,SZR,Generación,NEXU,"0,8"
EYOLPOP,EOLPOP,EOLICA VIURE DLAIRE,18W0000000008NFP,Eólica terrestre,Venta,España,SZR,Generación,GESTE,"2,7"
EYPC01,ESTPAYMER,ESTABANELL Y PAHISA MERCATOR S.A.,18WEYPC01-123-2T,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,EPYM,"0,0"
EYPPV1,EYP PV,EYP PV MENORS 1MW,18W000000000DQR9,Solar fotovoltaica,Venta,España,SZR,Generación,EPYM,"1,5"
EYPPV4,ES-EYPPV4,UP FV 1 5 MW,18W000000000TPOS,Solar fotovoltaica,Venta,España,SZR,Generación,EPYM,"9,8"
EYPPV5,UP SIRAH,UP FV 1-5 MW SIRAH,18W000000000UB3Y,Solar fotovoltaica,Venta,España,SZR,Generación,EPYM,"2,4"
EYPPV6,REPRE FV,REPRE FV 1 5 MW,18W000000000UVWR,Solar fotovoltaica,Venta,España,SZR,Generación,EPYM,"2,7"
EYWMARK,EYWMARK,EOLICA SIN UF W2M,18WEYWMARK-123-E,Eólica terrestre,Venta,España,SZR,Generación,WMARK,"0,4"
EZENET,EZENET,UP ENERGA ELICA ZENETE,18W000000000P30A,Eólica terrestre,Venta,España,SZR,Generación,EGLE,"1,5"
F15FEN,FV MAY 5MW,FV MAYOR 5 MW,18W000000000VBMT,Solar fotovoltaica,Venta,España,SZR,Generación,FEN,"25,0"
F1CEG,F1CEG,FV PEN MAYOR 1MW,18WF1CEG-12345-X,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"4,2"
F1DREUA,F1DREUA,UP RD 413-2014 FV SUP 1MW,18W000000000B38D,Solar fotovoltaica,Venta,España,SZR,Generación,DREUA,"1,7"
FAAVYC,FAAVYC,UP FV AAVYC GESTION 2000,18WFAAVYC-1234-O,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,6"
FABACUS,FABACUS,UP SOLAR ABACUS,18W000000000T31T,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,5"
FABENOJ,FABENOJ,UP SOLAR ABENOJAR,18W000000000R57J,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FABLITA,FABLITAS,UP SOLAR ABLITAS,18W000000000QAR5,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"14,0"
FAENAMA,FAENAMA,FAENAMA,18W000000000TRPK,Solar fotovoltaica,Venta,España,SZR,Generación,ENDG,"120,0"
FAGAC,FAGAC,GAC FOTOV MAYOR 1MW,18W000000000O3DP,Solar fotovoltaica,Venta,España,SZR,Generación,GAC,"1,9"
FAGENOR,AGENR,AGENORR,18W000000000QR7V,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"40,0"
FAGROB1,FAGROB1,UP SOLAR ALGARROBO I,18W000000000QMVZ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FAGROB2,FAGROB2,UP SOLAR ALGARROBO II,18W000000000QMWX,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FAGROB3,FAGROB3,UP SOLAR ALGARROBO III,18W000000000QMXV,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,7"
FAGRSRM,FAGRSRM,FAGRSRM,18W000000000UF5I,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"2,5"
FAGUDO,FAGUDO,UP SOLAR AURA DE AGUDO,18W000000000OA2Q,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,0"
FAIELO,FAIELO,UP SOLAR FAIELO,18W000000000P2L8,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,5"
FAIRM1,FAIRM1,UP SOLAR AIRM1,18W000000000R9R4,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,0"
FAIRM2,FAIRM2,UP SOLAR FAIRM2,18W000000000R9S2,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,0"
FALAM,FALAM,FALAM,18W000000000KRMP,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"8,0"
FALAMIL,FALAMIL,UP SOLAR ALAMILLA,18W000000000R6W3,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,4"
FALARCO,FALARCO,UP FV ALARCO,18W000000000G236,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"43,7"
FALBESA,FALBESA,UP SOLAR ALBESA,18W000000000SZRX,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,2"
FALBET1,FALBET1,UP SOLAR ALBETA 1,18W000000000RXU0,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,9"
FALBET2,ALBETA 2,UP SOLAR ALBETA 2,18W000000000RXWX,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,9"
FALCNCH,FALCNCH,UP SOLAR ALCONCHEL,18W000000000SQLZ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"6,4"
FALCNOR,ALCNOR,ALCALNORT,18W000000000P237,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"4,7"
FALCNRA,FCNERA,FV_FALCONERA,18W000000000QD9W,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"1,9"
FALCON1,FALCON1,UP SOLAR FV ALCON 1,18W000000000QF6W,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"23,1"
FALCONC,ALCONCHEL,PARQUE FV ALCONCHEL,18W000000000PX7H,Solar fotovoltaica,Venta,España,SZR,Generación,EBLCO,"10,0"
FALCOR,FALCOR,UP SOLAR LOS ALCORES,18W000000000UIGO,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"4,5"
FALCORE,FALCORE,UP FV ALCORES,18W000000000G29V,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"33,2"
FALCSUR,ALCSUR,ALCALASUR,18W000000000P253,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"4,7"
FALDER,FALDER,UP ALDENER EXTREMADURA,18W000000000SFKX,Solar fotovoltaica,Venta,España,AXPO ,Generación,EGLE,"94,8"
FALIAGA,FV ALIAGAR,FV ALIAGAR,18W000000000S9LC,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"45,0"
FALIWN,FALIWIN,UP SOLAR ALIWIN,18W000000000L9DJ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"19,9"
FALIZAR,ALIZARSUN,ALIZARSUN,18W000000000MEJP,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"41,5"
FALJORR,FALJORRA,UP FV ALJORRA,18W000000000G2DN,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"27,1"
FALLIUM,FALLIUM,UP SOLAR ALLIUM,18W000000000UTVZ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,5"
FALMANS,FALMANS,UP FV ALMANSA,18W000000000G27Z,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"45,1"
FALMO1,FALMO1,FALMO1,18W000000000T64E,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"38,2"
FALMRIO,FALMRIO,UP SOLAR ALMODOVAR RIO,18W000000000U30R,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"20,0"
FALMUGE,FALMUGE,UP SOLAR ALMORAUGE,18W000000000TBZB,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,0"
FALMVAR,FALMVAR,UP SOLAR ALMODOVAR,18W000000000U31P,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"14,0"
FALNERA,FALNERA,UP FALNERA,18W000000000LEX1,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"7,2"
FALONDE,FALONDE,UP SOLAR FALONDE,18W000000000SZ9W,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,2"
FALP11,FALP11,FALP11,18W000000000SQ4W,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"23,0"
FALP12,FALP12,FALP12,18W000000000SVFW,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"7,2"
FALP13,FALP13,FALP13,18W000000000SVGU,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"9,0"
FALP14,FALP14,FALP14,18W000000000T6DX,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"8,0"
FALP15,FALP15,FALP15,18W000000000T6EV,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"8,0"
FALP16,FALP16,FALP16,18W000000000T6FT,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"30,0"
FALP18,FALP18,FALP18,18W000000000TGQE,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"45,0"
FALP19,FALP19,FALP19,18W000000000TGRC,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"40,0"
FALP20,FALP20,FALP20,18W000000000TGSA,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"40,0"
FALP21,FALP21,FALP21,18W000000000TN8T,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"19,6"
FALP22,FALP22,FALP22,18W000000000U2QF,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"25,2"
FALP23,FALP23,FALP23,18W000000000UIVV,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"6,0"
FALP25,FALP25,FALP25,18W000000000UIZN,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"5,0"
FALP29,FALP29,FALP29,18W000000000VBW9,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"80,3"
FALPMAI,FALPMAI,FALPMAI,18W000000000V9BK,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"170,0"
