subject_code,legal_entity
ACHER,ELECTRICA DE CHERA
COELD,"ELECTRICA DE GUADASSUAR, S.C.V"
EMELI,ELECTRICA DE MELIANA
JOSEP,ELECTRICA DE SUDANELL SL
VINAL,ELECTRICA DE VINALESA SCV
ELPOP,"ELECTRICA POPULAR, S. COOP."
SALPA,ELECTRICA SALAS DE PALLARS COMERCIALIZADORA
ESERO,ELECTRICA SEROSENSE
SOLL,ELECTRICA SOLLERENSE SA
ELEIA,ELECTRICIDAD ELEIA SL
ELALM,ELECTRICITAT DALMENAR SL.
CERLE,ELECTRONICA CERLER S.A
EROUT,ELECTROROUTE ENERGY TRADING LD
ELEGA,ELEGA ENERGIA COMERCIALIZADORA
ELEK,ELEK COMERCIALIZADORA
EGLE,ELEKTRIZITATS-GESELLSHAFT
ELVA2,ELEVA 2 COMERCIALIZADORA
ELITE,ELITE BIOENERGÍA S.L.
EMES,EMILIO ESTEBAN S.A
ENARA,ENARA GESTION Y MEDIACION SL
ENCHU,ENCE ENERGIA HUELVA DOS
PU100,ENCE ENERGIA PUERTOLLANO
EENER,"ENCE ENERGÍA, S.L."
ECYR,ENDESA COGENER Y RENOVABLES
ENDCO,Endesa Energia
EEREN,ENDESA ENERGIA RENOVABLE
ENDI,ENDI ENERGIA
ENEFI,ENERFIA
EGAZE,ENERGAZE
DLSTE,ENERGÉTICA DEL ESTE SL
ENEDK,ENERGETICA HOTELERA
ECOLE,ENERGÍA COLECTIVA
ENERY,ENERGIA ECOLOGICA ECONOMICA
ENEEX,ENERGÍA GAS AL-ANDALUS SL
ENUFR,ENERGIA NUFRI
EOP20,ENERGIA OPERATIVA
ENEET,ENERGIA RESPONSABLE COMERCIALIZADORA SL
ENEDG,ENERGIA UNICA SOLUCIONES INTEGRALES SL
EVIVA,ENERGIA VIVA SPAIN SL
EEXXI,Energia XXI
EYCE1,ENERGIA Y COMERCIALIZACION EMPRESARIAL SL
ENEDB,ENERGIAREA EUROPE SL
ENDEE,ENERGIAS DE ESCARRILLA SL
CAMCO,ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU
ENDEP,ENERGIAS DE PANTICOSA COMERCIALIZADORA
ENEAC,ENERGIAS DEL ZINQUETA COMERCIALIZADORA SLU
MEDI,ENERGIAS RENOVABLES MEDITERRANEAS
ENRNV,ENERGIAS RENOVADORAS SL
ENEDJ,ENERGIES RENOVABLES PUBLIQUES DE CATALUNYA SAU
EGREN,ENERGREEN MOBILITY S.L
COGEN,"ENERGY BY COGEN, S.L.U"
EFG,ENERGY FACTORY GROUP S.L.
EINDE,ENERGY INDEX SL
INSOL,ENERGY INTERSOL 15
ENEPL,ENERGY PLUS IBERIA SL
ENSAV,ENERGY SAVE PROYECTS
ETSOL,ENERGY TRADER SOLUTIONS SL
EWCA,"ENERGY WORKS CARTAGENA, S.L."
CEG,ENERGYA VM GENERACION S.L.U.
CENTE,"ENERGYA VM GESTION DE ENERGÍA, S.L.U"
STROM,ENERGYSTROMXXI
EKORE,ENERKORE SL
ENEDH,ENERMIA COMERCIALIZADORA ELECTRICA S.L.
ENPEN,ENERPLUS ENERGIA
ENETI,"ENERTIA GROUP, S. L."
ENVER,ENERVER ENERGIA
EGALE,ENERXIA GALEGA MAIS
ENEXS,ENEX SOCIAL ENERGY SL
EBLCO,ENGIE
CARTA,ENGIE CARTAGENA S.L.
CTNU,ENGIE CASTELNOU
ENHEA,"ENHER HECSA, SL"
ENTXX,ENTECO EXTREMADURA
ENPHA,ENTECO PHARMA
EPAC,EPAC COMERCIALIZADORA
EPRSA,EPRESA ENERGIA S.A.U.
EQUAN,"EQUANIMITYENERGY TO GO, SLU"
CEEE,ESCANDINAVA DE ELECTRICIDAD
ESDOM,ESDOMO ENERGÍA SL
EPYM,ESTABANELL Y PAHISA MERCATOR
ESBUS,ESTACION AUTOBUSES ZARAGOZA
EPILA,ESTAMPACIONES METALICAS EPILA
ETNER,ETER ENERGIA SL
URAIV,EVOLVE ENERGIA SL
EXISC,EXIS COMPONENT S.L.
TEXOR,FABRICA FORRERIA
SEDAT,FABRICA TELA
RENSP,FALCK NEXT ENERGY SRL SPAIN SUCURSAL
FASTL,FASTLIGHT S.L
FEED,FEED ENERGIA
FEMCV,FEMCV
FENER,FENERGAS ENERGIA SL
FEN,FENIE ENERGIA
FLAMA,FLAMAGAS LLINARS SLU
FECII,FLUID ELECTRIC CAMPRODON II S
FEDA,FORCES ELECTRIQUES D ANDORRA
FORTE,FORESTA TERRENOS
FORTU,FORTULUZ COMERCIALIZACION
FORZA,FORZAVSUNAIR
FOX,FOX ENERGIA
OLLER,FRANCISCO OLLER SA
FRANK,"FRANK ENERGIA IBERIA, S.L."
FUSEE,FUSE ENERGY IBERICA SL
FUTGR,FUTURA GREEN RENOVABLES
GABAC,GABA COMERCIALIZADORA DE ELECTRICIDAD SLU
GGLOB,GAIA GLOBAL ENERGY SL
GALAP,GALAPAGO ENERGIA SL
GALP,GALP ENERGIA ESPANA
GAMB,GAMBASTAR S.L
