up_code,up_name,subject_code,technology_esios
EALP12,EALP12,HISPE,Eólica terrestre
EALP13,EALP13,HISPE,Eólica terrestre
EALP14,EALP14,HISPE,Eólica terrestre
EALP15,EALP15,HISPE,Eólica terrestre
EALP16,EALP16,HISPE,Eólica terrestre
EALP18,EALP18,HISPE,Eólica terrestre
EALP4,EALP4,HISPE,Eólica terrestre
EALP5,EALP5,HISPE,Eólica terrestre
EALP6,EALP6,HISPE,Eólica terrestre
EALP7,EALP7,HISPE,Eólica terrestre
EALP8,EALP8,HISPE,Eólica terrestre
EALP9,EALP9,HISPE,Eólica terrestre
EALTAN,EALTAN,EGLE,Eólica terrestre
EALTIPL,PE ALTIPLA,PEALT,Eólica terrestre
EAM0C01,EAM0C01,EAM01,Comercializadores mercado libre
EAMC01,ANT MAD,AMADR,Comercializadores mercado libre
EAMV02,GRAFENO,AMADR,Solar fotovoltaica
EAMV03,EAMV03,AMADR,Solar fotovoltaica
EAMV04,EAMV04,AMADR,Solar fotovoltaica
EAMV05,EAMV05,AMADR,Solar fotovoltaica
EAMV06,EAMV06,AMADR,Solar fotovoltaica
EANTONI,PE SANTONI,EBLCO,Eólica terrestre
EARNO,EARNO,EGLE,Eólica terrestre
EARTIG,EARTIG,REPSB,Eólica terrestre
EASCOI,EASCOI,NEXU,Eólica terrestre
EAUSIN,EAUSIN,CEG,Eólica terrestre
EBARBER,PE BARBERS,EBLCO,Eólica terrestre
EBECERR,EBECERR,PEBEC,Eólica terrestre
EBHIBHV,EBHIBHV,IBGES,Híbrida renovable-almacenamiento
EBIACA1,EBIACA1,EBIAR,Comercializadores mercado libre
EBLCO01,ELECTR-COM,EBLCO,Comercializadores mercado libre
EBLCR01,UP SRAD,EBLCO,Comercializadores mercado libre
EBLPCX1,EBLPCX1,EBLCO,Porfolio
EBLPVX1,EBLPVX1,EBLCO,Porfolio
EBOREA,EBOREA,EGLE,Eólica terrestre
EBRA,EBRO ALTO,IBEG,Hidráulica UGH
EBRACC1,EBRACC1,ENDG,Hidráulica UGH
EBRACC2,EBRACC2,ENDG,Hidráulica UGH
EBREC01,EBREC01,EBROE,Comercializadores mercado libre
EBRERZ,EBRO ERZ,ENDG,Hidráulica UGH
EBRFEN,ENH-FEC-GR,ENDG,Hidráulica UGH
EBROF,EBROF,GNRA,Hidráulica UGH
EBRUJUL,EBRUJUL,HC G,Eólica terrestre
EBRULL,EBRULL,EGLE,Eólica terrestre
EBSISG,EBSISG,EGED,Eólica terrestre
EBURGE,EBURGE,BURGE,Eólica terrestre
ECABELL,PE CABELLO,EBLCO,Eólica terrestre
ECACOND,PE CCONDE,EBLCO,Eólica terrestre
ECALZAD,PE CALZADA,EBLCO,Eólica terrestre
ECANTE,ECANTE,EGLE,Eólica terrestre
ECARCLN,ECARCLN,NEXU,Eólica terrestre
ECARRA2,ECARRA2,NEXU,Eólica terrestre
ECARRAI,ECARRAI,NEXU,Eólica terrestre
ECARRER,ECARRER,CEG,Eólica terrestre
ECARRG,ECARRG,EGLE,Eólica terrestre
ECASAR,ECASAR,CEG,Eólica terrestre
ECASTI,ECASTI,EGLE,Eólica terrestre
ECATC01,ECATC01,ELCAT,Comercializadores mercado libre
ECATER,ECATER,EGLE,Eólica terrestre
ECAZC01,ECADZ-COMP,ECADZ,Comercializadores mercado libre
ECEC01,ECE,ECE,Comercializadores mercado libre
ECEGRG,ECEREG,EGED,Eólica terrestre
ECENDER,CENER,WMARK,Eólica terrestre
ECERAD2,ECERAD2,NEXU,Eólica terrestre
ECERADI,ECERADI,NEXU,Eólica terrestre
ECERRA,ECERRA,EGLE,Eólica terrestre
ECERRA2,ECERRA2,REPSB,Eólica terrestre
ECERRAG,ECERRAG,REPSB,Eólica terrestre
ECERRAT,ECERRAT,REPSB,Eólica terrestre
ECHO,ECHO,HIDRJ,Hidráulica UGH
ECIERZO,ECIERZO,IGNIS,Eólica terrestre
ECINCA,CINCA,REPSB,Eólica terrestre
ECINCAG,ECINCAG,REPSB,Eólica terrestre
ECIRZOS,ELOSCRZOS,NEXU,Eólica terrestre
ECMOREN,PE CMORENO,EBLCO,Eólica terrestre
ECMTA,COMETAS,REPSB,Eólica terrestre
ECNDC01,ECND,ECOND,Comercializadores mercado libre
ECNR,ECNR,REPSB,Eólica terrestre
ECNRG,ECNRG,REPSB,Eólica terrestre
ECOFC01,ECOFUTURA,ECOFU,Comercializadores mercado libre
ECOFREN,ECOFREN,IGNIS,Eólica terrestre
ECOL,PECMORO,IGNIS,Eólica terrestre
ECOLC01,UPECOLE01,ECOLE,Comercializadores mercado libre
ECOLIVA,PE COLIVA,EBLCO,Eólica terrestre
ECOMES,ECOMES,EGLE,Eólica terrestre
ECOMLIC,ECOMLIC,NEXU,Eólica terrestre
ECONJUR,ECONJUR,NEXU,Eólica terrestre
ECOR,PEVCORB,IGNIS,Eólica terrestre
ECORTG,CORTIJO,HISPE,Eólica terrestre
ECOSJAR,PECOSCOJAR,NEXU,Eólica terrestre
ECOTC01,ECOT,ECOTH,Comercializadores mercado libre
ECOVC01,ECOVC01,ECOVE,Comercializadores mercado libre
ECSCCA1,ECSCCA1,CALLO,Comercializadores mercado libre
ECT2,ECT2,CYDDP,Ciclo Combinado
ECT2X,ECT2X,CYDDP,Consumo de Servicios Auxiliares
ECT3,ESCAT3,REPSB,Ciclo Combinado
ECURRAG,ECURRAG,EGED,Eólica terrestre
ECYLEO,ECYLEO,EGLE,Eólica terrestre
ECYRREX,ECYRREX,ECYR,Consumo de Servicios Auxiliares
EDALOBA,EDALOBA,NEXU,Eólica terrestre
EDENCA,EDENCA,EGLE,Eólica terrestre
EDEPON,EDEPON,EGLE,Eólica terrestre
EDEREN,EDEREN,EGLE,Eólica terrestre
EDERR,DERRAMADOR,IGNIS,Eólica terrestre
EDEVAG,EDEVAG,EGED,Eólica terrestre
EDFAC01,CASABLANCA,EDFAC,Comercializadores mercado libre
EDFSC01,SERRALLO,EDFAS,Comercializadores mercado libre
EDFTC01,INTRA,EDFT,Comercializadores mercado libre
EDFTCP3,EDFTCP3,EDFT,Exportación Francia
EDFTVP3,EDFTVP3,EDFT,Importación Francia
EDPCC01,EDPCC01,EDPCL,Comercializadores mercado libre
EDPCOX,SSAA EDPC,NATGA,Consumo de Servicios Auxiliares
EDPCR01,EDPCR01,EDPCL,Comercializadores mercado libre
EDRIBGE,EDRIBGE,IBGES,Eólica terrestre
EE21C01,EE21C01,EEXXI,Comercializadores último recurso
EE21CEB,ENLACE PB,EEXXI,Enlace Baleares
EEBAN,EEBAN,CEG,Eólica terrestre
EEBLC11,EEBLC11,EBLCO,Eólica terrestre
EEBLC12,EEBLC12,EBLCO,Eólica terrestre
EEBLC13,EEBLC13,EBLCO,Eólica terrestre
EEBLC14,EEBLC14,EBLCO,Eólica terrestre
EEBLC17,EEBLC17,EBLCO,Eólica terrestre
EEBLC19,EEBLC19,EBLCO,Eólica terrestre
EEBLC20,EEBLC20,EBLCO,Eólica terrestre
EEBLCO1,EEBLCO1,EBLCO,Eólica terrestre
EEBLCO2,EEBLCO2,EBLCO,Eólica terrestre
EECAB,EECAB,CEG,Eólica terrestre
EECAP,EECAP,CEG,Eólica terrestre
EECARAM,PE CARAMON,EBLCO,Eólica terrestre
EEGPE1,EEGPE1,ECYR,Eólica terrestre
EEGPEM,EEGPEM,ECYR,Eólica terrestre
EEGPES,EEGPES,ECYR,Eólica terrestre
EEGPEV,EEGPEV,ECYR,Eólica terrestre
EEHU2,EEHU2,ENCHU,Biomasa
EEJEREZ,PE JEREZ,EBLCO,Eólica terrestre
EELEZU,EELEZU,CEG,Eólica terrestre
EELPINO,PE EL PINO,EBLCO,Eólica terrestre
EENC01,ELECT ENER,EEN,Comercializadores mercado libre
EENEC01,CONS ENER,EENER,Consumos directos en mercado
EENECO,EENECO,EGLE,Eólica terrestre
EENGAS,EENGAS,EGLE,Eólica terrestre
EENRES,EENRES,EGLE,Eólica terrestre
EENRO,MORELLA1,NEXU,Fuel
EENRO2,MORELLA2,NEXU,Fuel
EEOBRO,EEOBRO,CEG,Eólica terrestre
EEOLEX,EEOLEX,EGLE,Eólica terrestre
EEOMAR,EEOMAR,EGLE,Eólica terrestre
EEPARAM,PE PARAMO,EBLCO,Eólica terrestre
EEPESLO,EEPESLO,EGLE,Eólica terrestre
EEPLLG,EEPLLG,EGLE,Eólica terrestre
EERUYA,EERUYA,EGLE,Eólica terrestre
EESBGG,EESBGG,EGLE,Eólica terrestre
EETAHUN,PE TAHUNA,EBLCO,Eólica terrestre
EEVOLD,EEVOLD,WMARK,Eólica terrestre
EEWING,EEWING,EGLE,Eólica terrestre
EEZORRE,PE ZORRERA,EBLCO,Eólica terrestre
EFACINA,EFACINA,NEXU,Eólica terrestre
EFALA,FALAMO,IGNIS,Eólica terrestre
EFEGED,EFEGED,EGED,Eólica terrestre
EFEGEL1,EFEGEL1,EGED,Eólica terrestre
EFEGEL2,EFEGEL2,EGED,Eólica terrestre
EFERSA,EFERSA,EGLE,Eólica terrestre
EFGAVE,EFGAVE,EGLE,Eólica terrestre
EFGC01,EFG NAC,EFG,Comercializadores mercado libre
EFGNRA,EOLICA,GNRA,Eólica terrestre
EFGNRA2,EFGNRA2,GNRA,Eólica terrestre
EFGNRAM,EFGNRAM,GNRA,Eólica marina
EFGVDO,EFGVDO,EGLE,Eólica terrestre
EFIDC01,EFIDU,EFIDU,Comercializadores mercado libre
EFIDC02,UPVENTAFV,EFIDU,Solar fotovoltaica
EFIRC01,EFIRA,EFIRA,Comercializadores mercado libre
EFNEXU,EFNEXU,NEXU,Eólica terrestre
EFONTA,EFONTA,EGLE,Eólica terrestre
EFPART,EFPART,GNCO,Eólica terrestre
EFRON,FRONTONES,IGNIS,Eólica terrestre
EFWMARK,EFWMARK,WMARK,Eólica terrestre
EGALC01,EGAMA,EGALE,Comercializadores mercado libre
EGALLE,EGALLE,REPSB,Eólica terrestre
EGASN2U,EGASN2U,GNCO,Eólica terrestre
EGASNE0,EGASNE0,GNCO,Eólica terrestre
EGASNE1,EGASNE1,GNCO,Eólica terrestre
EGASNE2,EGASNE2,GNCO,Eólica terrestre
EGASUR,EGASUR,IGNIS,Eólica terrestre
EGAZC01,EGAZE,EGAZE,Comercializadores mercado libre
EGCMC01,EGCMC01,ENDG,Comercializadores mercado libre
EGEAMG,EGEAMG,CEG,Eólica terrestre
EGECAM,EGECAM,EGLE,Eólica terrestre
EGEDC01,EGEDC01,EGED,Comercializadores mercado libre
EGEDCP3,UP DERECHO,EGED,Exportación Francia
EGEDCX,UP SER AUX,EGED,Consumo de Servicios Auxiliares
EGEDR01,UP RAD3,EGED,Comercializadores mercado libre
EGEDVP3,VTA DERECH,EGED,Importación Francia
EGENC01,EGENC01,EGEN,Comercializadores mercado libre
EGENR01,EGENR01,EGEN,Comercializadores mercado libre
EGFEN,EOL 1 MW,FEN,Eólica terrestre
EGLCCX1,EGLCCX1,EGLE,Porfolio
EGLCVX1,EGLCVX1,EGLE,Porfolio
EGLEC01,EGLE CO,EGLE,Comercializadores mercado libre
EGLECP3,EGLECP3,EGLE,Exportación Francia
EGLEVP3,EGLEVP3,EGLE,Importación Francia
EGLEX,EGLEX,EGLE,Consumo de Servicios Auxiliares
EGLPCX1,EGLPCX1,EGLE,Porfolio
EGLPVX1,EGLPVX1,EGLE,Porfolio
EGMALP,EGMALP,IGNIS,Eólica terrestre
EGNIC01,EGNIC01,EGNIS,Comercializadores mercado libre
EGRAIA,EGRAIA,EGLE,Eólica terrestre
EGREC01,EGREC01,EGREN,Comercializadores mercado libre
EGREEN,EOLICAGEST,EGED,Eólica terrestre
EGREEN1,EOLICAGES1,EGED,Eólica terrestre
EGREEN2,EGREEN2,EGED,Híbrida renovable
EGREEN3,EGREEN3,EGED,Eólica terrestre
EGST146,EGST146,GESTE,Eólica terrestre
EGST147,EGST147,GESTE,Eólica terrestre
EGST174,EGST174,GESTE,Eólica terrestre
EGST175,EGST175,GESTE,Eólica terrestre
EGST228,EGST228,GESTE,Eólica terrestre
EGST237,EGST237,GESTE,Eólica terrestre
EGST238,EGST238,GESTE,Eólica terrestre
EGST239,EGST239,GESTE,Eólica terrestre
EGST240,EGST240,GESTE,Eólica terrestre
EGST244,EGST244,GESTE,Eólica terrestre
EGST247,EGST247,GESTE,Eólica terrestre
EGST257,EGST257,GESTE,Eólica terrestre
EGST258,EGST258,GESTE,Eólica terrestre
EGST259,EGST259,GESTE,Eólica terrestre
EGST260,EGST260,GESTE,Eólica terrestre
EGST300,EGST300,GESTE,Eólica terrestre
EGST301,EGST301,GESTE,Eólica terrestre
EGST324,EGST324,GESTE,Eólica terrestre
EGST327,EGST327,GESTE,Eólica terrestre
EGUPC01,ES-EGSGEUP,EGSGE,Comercializadores mercado libre
EGVENTO,EGVENTO,IGNIS,Eólica terrestre
EHERRER,HERRERA,NEXU,Eólica terrestre
EHIBAGI,EHIBAGI,NEXU,Híbrida renovable
EHIBAGL,EHIBAGL,NEXU,Híbrida renovable
EHIBCOS,EHIBCOS,NEXU,Híbrida renovable
EHIBGES,EHIBGES,IBGES,Eólica terrestre
EHIBPED,EHIBPED,NEXU,Híbrida renovable
EHIBRI2,EHIBRI2,NEXU,Híbrida renovable
EHIBRIO,EHIBRIO,NEXU,Híbrida renovable
EHILC01,HELIA UP,HELIC,Comercializadores mercado libre
EHINOJ,EHINOJ,EGLE,Eólica terrestre
EIBGEBU,EIBGEBU,IBGES,Eólica terrestre
EIBGECA,EIBGECA,IBGES,Eólica terrestre
EIBGEIG,EIBGEIG,IBGES,Eólica terrestre
EIBGENO,EIBGENO,IBGES,Eólica terrestre
EIBGEVA,EIBGEVA,IBGES,Eólica terrestre
EINDC01,EINDC01,EINDE,Comercializadores mercado libre
EINTC01,EI15 PEN,INSOL,Comercializadores mercado libre
EINVER,EINVER,EGLE,Eólica terrestre
EIRIXO,EIRIXO,EGLE,Eólica terrestre
EJANCOL,EJANCOL,NEXU,Eólica terrestre
EJANDAP,EJANDAP,NEXU,Eólica terrestre
EJANDSU,EJANDSU,NEXU,Eólica terrestre
EJAUFIL,EJAUFIL,EBLCO,Eólica terrestre
EKHIC01,EKHINEO,EKHIN,Comercializadores mercado libre
ELALC01,ALGIMIA,ELALG,Comercializadores mercado libre
ELASMAJ,ELASMAJ,WMARK,Eólica terrestre
ELAVC01,ELAVC01,ELAVE,Comercializadores mercado libre
ELBEC01,ELBEN_UP,ELBEN,Comercializadores mercado libre
ELBOGA,ELBOGA,EGLE,Eólica terrestre
ELCAC01,ELCAC01,ECAL,Comercializadores mercado libre
ELCNC01,ELCNC01,ELECN,Comercializadores mercado libre
ELCOTOR,ELCOTOR,WMARK,Eólica terrestre
ELEAUX,ELEAUX1,ELEIA,Consumo de Servicios Auxiliares
ELEIC01,ELEIC01,ELEIA,Comercializadores mercado libre
ELEKC01,ELEKC01,ELEK,Comercializadores mercado libre
ELEPCX1,ELEPCX1,ELEIA,Porfolio
ELEPVX1,ELEPVX1,ELEIA,Porfolio
ELESC01,ELESU_UP,ELESU,Comercializadores mercado libre
ELESROT,PE LROTES,EBLCO,Eólica terrestre
ELGUIJ1,PE GUIJO I,EBLCO,Eólica terrestre
ELITC01,ELIE_BIO,ELITE,Comercializadores mercado libre
ELMOC01,ELMON_UP,ELMON,Comercializadores mercado libre
ELODOS,ELODOS,EGLE,Eólica terrestre
ELOMILA,ELOMILA,CEG,Eólica terrestre
ELPOC01,ELPOP,ELPOP,Comercializadores mercado libre
ELPOLEO,POLEO,GESTE,Eólica terrestre
ELTEC01,ELTED,ELTED,Comercializadores mercado libre
ELUZC01,E-LUZ,ELUZE,Comercializadores mercado libre
ELV2C01,ELEVA2,ELVA2,Comercializadores mercado libre
ELVAC01,ELEVA UNO,ELVA1,Comercializadores mercado libre
EMAJOGA,PE MAJOGAZ,EBLCO,Eólica terrestre
EMAMUT,EMAMUT,EGLE,Eólica terrestre
EMANZAN,EMANZAN,CEG,Eólica terrestre
EMARME,EMARME,EGLE,Eólica terrestre
EMCIBGE,EMCIBGE,IBGES,Eólica terrestre
EMEDI,EMEDI,MEDI,Eólica terrestre
EMEDI1,EMEDI1,EGED,Eólica terrestre
EMELC01,MELIANA,EMELI,Comercializadores mercado libre
EMESC01,EMESA,EMES,Consumos directos en mercado
EMFEN,EOL 1MW,FEN,Eólica terrestre
EMGALLN,EMGALLN,CEG,Eólica terrestre
EMIAC01,ENERMIA,ENEDH,Comercializadores mercado libre
EMINON,EMINON,NEXU,Eólica terrestre
EMIRASI,EMIRASI,MIRAS,Eólica terrestre
EMOARG,EMOARG,EGLE,Eólica terrestre
EMONCLU,PE MONCLUE,EBLCO,Eólica terrestre
EMONJAS,EMONJAS,NEXU,Eólica terrestre
EMONTOU,EMONTOU,EGLE,Eólica terrestre
EMORAL1,PE MORAL1,EBLCO,Eólica terrestre
EMORELL,EMORELL,REPP,Gas Natural Cogeneración
EMORPC2,UPCG2GC,REPP,Gas Natural Cogeneración
EMORPER,EMORPER,REPP,Gas Natural Cogeneración
EMORRA,EMORRA,EGLE,Eólica terrestre
EMOSTAZ,EMOSTAZ,NEXU,Eólica terrestre
EMRIBGE,EMRIBGE,IBGES,Eólica terrestre
EMTORR,EMTORR,EGLE,Eólica terrestre
EMTOURD,EMTOURDO,NEXU,Eólica terrestre
EMUELA,EMUELA,NEXU,Eólica terrestre
ENABAR,ENABAR,AME,Energía residual
ENARC01,ENARC01,ENARA,Comercializadores mercado libre
ENAVA,ELANAVA,NEXU,Eólica terrestre
ENCECP3,COMPRAINTE,EENER,Exportación Francia
ENCEVP3,VENTAINTER,EENER,Importación Francia
ENDE01,END-EN-NAC,ENDCO,Comercializadores mercado libre
ENDEC01,ENDEC01,ENDEE,Comercializadores mercado libre
ENDEC04,ENDEC AND,ENDCO,Exportación Andorra
ENDER01,ENDCO BALA,ENDCO,Comercializadores mercado libre
ENDGCP3,ENDGCP3,ENDG,Exportación Francia
ENDGVP3,ENDGVP3,ENDG,Importación Francia
ENDIC01,ENDI ENERG,ENDI,Comercializadores mercado libre
ENDKC01,ENDKC01,ENEDK,Comercializadores mercado libre
ENDPC01,ENDPC01,ENDEP,Comercializadores mercado libre
ENDPRB,ENDPRB,ENDG,Consumo bombeo
ENDRE01,REPREFVAC,ENDCO,Solar fotovoltaica
ENDRE02,REPREFVAC2,ENDCO,Solar fotovoltaica
ENEC01,ENERGIA UN,ENEDG,Comercializadores mercado libre
ENEDC01,ENEDC01,ENEDB,Comercializadores mercado libre
ENEEC01,AL ANDALUS,ENEEX,Comercializadores mercado libre
ENEGRED,PE NEGREDO,EBLCO,Eólica terrestre
ENEIC01,ENERFIA,ENEFI,Comercializadores mercado libre
ENEIR01,ENEIR01,ENEFI,Comercializadores mercado libre
ENEPC01,ENEPC01,ENEPL,Comercializadores mercado libre
ENERE01,UP VENTA,ENEDB,Solar fotovoltaica
ENERV2,ENERVALL 2,NETRA,Solar fotovoltaica
ENERVAL,UP ENERV,NETRA,Solar fotovoltaica
ENETC01,ENETC01,ENETI,Comercializadores mercado libre
ENEXC01,ENEXC01,ENEXS,Comercializadores mercado libre
ENEYC01,ECO2,ENERY,Comercializadores mercado libre
ENFDC01,ENFDC01,ENUFR,Consumos directos en mercado
ENHEC01,ENHEA,ENHEA,Comercializadores mercado libre
ENMEC01,EDM,ENMED,Comercializadores mercado libre
ENMEV01,ENMEV01,ENMED,Hidráulica no UGH
ENOUTA,ENOUTA,NEXU,Eólica terrestre
ENPEC01,ENERPLUS,ENPEN,Comercializadores mercado libre
ENPHC01,ENTECOP,ENPHA,Consumos directos en mercado
ENRKC01,EKORE ADQ,EKORE,Comercializadores mercado libre
ENRNC01,ENRNC01,ENRNV,Comercializadores mercado libre
ENRPC01,ENRPC01,ENERP,Comercializadores mercado libre
ENSAC01,ENERGYSAVE,ENSAV,Comercializadores mercado libre
ENSRR01,SRAD EN,ENUFR,Comercializadores mercado libre
ENUFC01,ENUFRI,ENUFR,Comercializadores mercado libre
ENUFRV1,ENUFRV1,ENUFR,Gas Natural Cogeneración
ENUFRV4,ENUFRV4,ENUFR,Hidráulica no UGH
ENUFRV5,ENUFRV5,ENUFR,Biogás
ENUFRV6,ENUFRV6,ENUFR,Biomasa
ENUFRV7,ENUFRV7,ENUFR,Gas Natural Cogeneración
ENUFRV8,ENUFRV8,ENUFR,Solar fotovoltaica
ENUFRV9,LA JARA 1,ENUFR,Solar fotovoltaica
ENUFV10,ENUFV10,ENUFR,Gas Natural Cogeneración
ENUFV11,LA JARA 2,ENUFR,Solar fotovoltaica
ENUFV12,LA RASA 1,ENUFR,Solar fotovoltaica
ENUFV14,ENUFV14,ENUFR,Solar fotovoltaica
ENUFV15,ENUFV15,ENUFR,Solar fotovoltaica
ENUFV16,ENUFV16,ENUFR,Solar fotovoltaica
ENUFV18,ENUFV18,ENUFR,Solar fotovoltaica
ENUPCX1,ENUPCX1,ENUFR,Porfolio
ENUPVX1,ENUPVX1,ENUFR,Porfolio
ENVEC01,ENERVER,ENVER,Comercializadores mercado libre
ENXXC01,ENTXX,ENTXX,Consumos directos en mercado
ENZIC01,UP_ENEAC,ENEAC,Comercializadores mercado libre
EOITAV,EOITAV,EGLE,Eólica terrestre
EOLIADO,EOLIADO,EGLE,Eólica terrestre
EONUC01,EONUC01,EONUR,Comercializadores último recurso
EOP2C01,EOP,EOP20,Comercializadores mercado libre
EORKO,ORKOIEN,HISPE,Eólica terrestre
EORTIV,EORTIV,EGLE,Eólica terrestre
EOTERO,EOTERO,EGLE,Eólica terrestre
EOTMR,EOLICA GN,GNRA,Eólica terrestre
EOUROL,EOUROL,EGLE,Eólica terrestre
EPACC01,EPACC01,EPAC,Comercializadores mercado libre
EPALOM,EAEPALOMAR,WMARK,Eólica terrestre
EPARIDE,PE PARIDER,EBLCO,Eólica terrestre
EPATRON,PE PATRON,EBLCO,Eólica terrestre
EPBUIO,EPBUIO,EGED,Eólica terrestre
EPBUIO1,EPBUIO1,EGED,Eólica terrestre
EPDERAS,PNDRAS,GESTE,Eólica terrestre
EPEAFG,EPEAFG,EGED,Eólica terrestre
EPEBAN,EPEBAN,EGLE,Eólica terrestre
EPEBECE,EPEBECE,CEG,Eólica terrestre
EPEBRE,UP PEBESA,NEXU,Eólica terrestre
EPECOTE,EPECOTE,CEG,Eólica terrestre
EPEEXXI,EPEEXXI,EEXXI,Eólica terrestre
EPEGLE,EPEGLE,EGLE,Eólica terrestre
EPEMUEL,EPEMUEL,HISPE,Eólica terrestre
EPENUCA,EPENUCA,CEG,Eólica terrestre
EPEONUR,EPEONUR,EONUR,Eólica terrestre
EPEPUR,EPEPUR,EGLE,Eólica terrestre
EPERTO,EPERTO,EGLE,Eólica terrestre
EPEVIG,EPEVIG,EGED,Eólica terrestre
EPHCCUR,EPHCCUR,HCCUR,Eólica terrestre
EPI,PI,REPSB,Eólica terrestre
EPIBCUR,EPIBCUR,IBCUR,Eólica terrestre
EPILC01,EPILA,EPILA,Consumos directos en mercado
EPLASEN,EPLASEN,CEG,Eólica terrestre
EPLATA,EPLATA,NEXU,Eólica terrestre
EPLEN1,PLEN1,HISPE,Eólica terrestre
EPLOMAS,ELPLOMAS,NEXU,Eólica terrestre
EPMULTI,EPMULTI,CEG,Eólica terrestre
EPOUROL,UP OUROL,NEXU,Eólica terrestre
EPOZAL,EPOZAL,EGLE,Eólica terrestre
EPPJAR,EPPJAR,EGLE,Eólica terrestre
EPPOZA,EPPOZA,IGNIS,Eólica terrestre
EPRADA,EPRADA,EGLE,Eólica terrestre
EPRADA2,EPRADA2,EGLE,Eólica terrestre
EPRADA3,EPRADA3,EGLE,Eólica terrestre
EPRADA4,EPRADA4,EGLE,Eólica terrestre
EPROTO,EPROTO,EGLE,Eólica terrestre
EPRSC01,EPRESA CO,EPRSA,Comercializadores mercado libre
EPTRIZ,EPTRIZ,EGLE,Eólica terrestre
EPU50,EPU50,PU100,Biomasa
EPUEYO,EPUEYO,EGLE,Eólica terrestre
EQUAC01,EQUAC01,EQUAN,Comercializadores mercado libre
ERALTA,ERALTA,EGLE,Eólica terrestre
ERANCHO,ERANCHO,NEXU,Eólica terrestre
EREA,EREA,HISPE,Eólica terrestre
EREDON,EREDON,NEXU,Eólica terrestre
EREGPE1,EREGPE1,ECYR,Eólica terrestre
EREGPEM,EREGPEM,ECYR,Eólica terrestre
EREGPES,EREGPES,ECYR,Eólica terrestre
EREGPEV,EREGPEV,ECYR,Eólica terrestre
ERENC01,ERENC01,EEREN,Comercializadores mercado libre
EREPSOH,EREPSOH,REPSB,Híbrida renovable
EREPSOL,EREPSOL,REPSB,Eólica terrestre
ERIANSA,ERIANSA,EBLCO,Eólica terrestre
EROBRE,EROBRE,ACENH,Eólica terrestre
EROCH,ROCHA,REPSB,Eólica terrestre
EROME,EROME,REPSB,Eólica terrestre
ERONDA,ERONDA,WMARK,Eólica terrestre
EROUCP3,EROUTE,EROUT,Exportación Francia
EROUVP3,EROUT,EROUT,Importación Francia
ERPCC01,UP COMPRA,ENEDJ,Comercializadores mercado libre
ERPCFV0,UP PER FV,ENEDJ,Solar fotovoltaica
ERPCFV1,UP GEN FV,ENEDJ,Solar fotovoltaica
ERPCHI0,UP PER H,ENEDJ,Hidráulica no UGH
ERPCHI1,UPHMENOR1,ENEDJ,Hidráulica no UGH
ERRIBGE,ERRIBGE,IBGES,Eólica terrestre
ERUNAG,ERUNAG,EGED,Eólica terrestre
ES-EYPP,CAÑADA,EPYM,Solar fotovoltaica
ES-FGEN,MAZARRON,ISMSL,Solar fotovoltaica
ES-FINV,MAYA,ISMSL,Solar fotovoltaica
ES-HCAB,UP HCABB,GEMSL,Hidráulica no UGH
ES-RCAB,UP RCABB,GEMSL,Biogás
ES-SROC,UPROCI2,IGNIS,Solar fotovoltaica
ESANCHO,PESANCHOA,NEXU,Eólica terrestre
ESARDON,ESARDON,NEXU,Eólica terrestre
ESAV,PESAVILA,IGNIS,Eólica terrestre
ESBUC01,ESBUS,ESBUS,Consumos directos en mercado
ESC6,ESC IBER 6,IBGT,Ciclo Combinado
ESCANDE,ESCANDELLA,LMER,Gas Natural Cogeneración
ESCCC1,ESCCC1,CARTA,Ciclo Combinado
ESCCC1X,ESCCC1X,CARTA,Consumo de Servicios Auxiliares
ESCCC2,ESC GDF 2,CARTA,Ciclo Combinado
ESCCC2X,ESCCC2X,CARTA,Consumo de Servicios Auxiliares
ESCCC3,ESC GDF 3,CARTA,Ciclo Combinado
ESCCC3X,ESCCC3X,CARTA,Consumo de Servicios Auxiliares
ESCU4,ESC4,IGNIS,Solar fotovoltaica
ESDCAND,ESDCAND,NEXU,Eólica terrestre
ESDOC01,ESDOMO,ESDOM,Comercializadores mercado libre
ESEG,SEGURA,REPSB,Eólica terrestre
ESEGC01,UP_SEGE,SOCIN,Comercializadores mercado libre
ESEIXO,ESEIXO,NEXU,Eólica terrestre
ESEOUR,ESEOUR,EGLE,Eólica terrestre
ESERC01,ESERO COM,ESERO,Comercializadores mercado libre
ESHAC01,HANWHA,ESHAN,Comercializadores mercado libre
ESIEMIN,ESIEMIN,EGLE,Eólica terrestre
ESIERAR,SIERRA,HISPE,Eólica terrestre
ESLA,ESLA,LMER,Gas Natural Cogeneración
ESOLANS,PE SOLANS,EBLCO,Eólica terrestre
ESOMERS,ESOMERS,EGLE,Eólica terrestre
ESQUI,ESQUILEO,RENSP,Eólica terrestre
ESRQE,ESRQE,REPSB,Eólica terrestre
ESTEV,ESTEV,REPSB,Eólica terrestre
ESTEVE,ESTEVE,LMER,Gas Natural Cogeneración
ESTVNTO,ESTVNTO,NEXU,Eólica terrestre
ETBLRES,ETBLRES,NEXU,Eólica terrestre
ETEJONE,ETEJONE,NEXU,Eólica terrestre
ETMA,PETMADRINA,IGNIS,Eólica terrestre
